STROKE 1
171 163 1777641995.661000
167 159 1777641995.862000
164 157 1777641995.879000
160 155 1777641995.896000
157 154 1777641995.913000
153 154 1777641995.929000
150 154 1777641995.946000
146 154 1777641995.962000
143 154 1777641995.979000
140 154 1777641995.996000
138 157 1777641996.012000
136 159 1777641996.029000
135 163 1777641996.046000
134 167 1777641996.063000
133 170 1777641996.079000
132 173 1777641996.096000
132 176 1777641996.113000
132 178 1777641996.130000
132 181 1777641996.146000
132 185 1777641996.163000
133 188 1777641996.180000
135 192 1777641996.196000
138 195 1777641996.213000
142 198 1777641996.230000
145 200 1777641996.247000
149 203 1777641996.263000
153 204 1777641996.280000
156 205 1777641996.297000
160 205 1777641996.314000
163 205 1777641996.330000
166 205 1777641996.347000
169 205 1777641996.364000
172 204 1777641996.381000
174 201 1777641996.397000
176 199 1777641996.414000
177 197 1777641996.431000
177 195 1777641996.447000
178 194 1777641996.464000

STROKE 2
230 158 1777641997.935000
221 151 1777641998.121000
218 153 1777641998.137000
214 157 1777641998.154000
209 161 1777641998.171000
205 165 1777641998.187000
201 169 1777641998.204000
197 172 1777641998.221000
195 175 1777641998.238000
194 177 1777641998.255000
194 180 1777641998.271000
194 183 1777641998.288000
194 186 1777641998.304000
194 189 1777641998.321000
197 191 1777641998.338000
201 194 1777641998.355000
204 195 1777641998.371000
208 196 1777641998.388000
212 197 1777641998.405000
216 198 1777641998.421000
220 198 1777641998.438000
224 198 1777641998.455000
228 198 1777641998.472000
231 198 1777641998.489000
234 198 1777641998.505000
236 198 1777641998.522000
238 197 1777641998.538000
238 196 1777641998.555000
238 195 1777641998.572000
239 194 1777641998.589000

STROKE 3
224 117 1777641999.177000
218 116 1777641999.359000
215 116 1777641999.375000
212 116 1777641999.392000
208 116 1777641999.409000
205 116 1777641999.426000
202 117 1777641999.442000
199 119 1777641999.459000
197 122 1777641999.476000
195 125 1777641999.492000
194 129 1777641999.509000
194 133 1777641999.526000
194 137 1777641999.542000
194 140 1777641999.559000
196 143 1777641999.576000
198 146 1777641999.592000
200 148 1777641999.609000
203 150 1777641999.626000
205 152 1777641999.643000
207 153 1777641999.659000
209 154 1777641999.676000
211 155 1777641999.693000
212 155 1777641999.709000
214 155 1777641999.726000
215 155 1777641999.743000
217 155 1777641999.760000
219 155 1777641999.776000
222 155 1777641999.793000

