STROKE 1
97 174 1775315950.075000
94 175 1775315950.202000
88 177 1775315950.219000
78 183 1775315950.235000
66 192 1775315950.252000
62 199 1775315950.268000
59 204 1775315950.285000
59 210 1775315950.303000
60 216 1775315950.319000
63 224 1775315950.335000
66 227 1775315950.352000
69 228 1775315950.369000
71 228 1775315950.385000
75 226 1775315950.402000
79 223 1775315950.418000
82 219 1775315950.435000
83 216 1775315950.452000
83 213 1775315950.468000
83 212 1775315950.485000
80 210 1775315950.501000
75 210 1775315950.518000
66 213 1775315950.536000
60 216 1775315950.551000
58 219 1775315950.568000

STROKE 2
134 182 1775315951.143000
134 183 1775315951.233000
133 185 1775315951.250000
130 192 1775315951.266000
128 204 1775315951.283000
128 212 1775315951.299000
130 220 1775315951.316000
134 224 1775315951.333000
139 225 1775315951.350000
151 221 1775315951.366000
160 216 1775315951.382000
166 211 1775315951.399000
169 205 1775315951.417000
169 201 1775315951.433000
169 199 1775315951.449000
168 196 1775315951.466000
166 193 1775315951.482000
163 190 1775315951.499000
160 188 1775315951.516000
160 188 1775315951.526000

STROKE 3
161 141 1775315951.819000
161 141 1775315951.915000
160 141 1775315951.931000
156 140 1775315951.948000
144 141 1775315951.965000
133 143 1775315951.981000
125 144 1775315951.998000
120 147 1775315952.015000
118 150 1775315952.031000
115 157 1775315952.048000
113 170 1775315952.064000
110 193 1775315952.082000
109 209 1775315952.098000
110 225 1775315952.114000
110 237 1775315952.131000
112 247 1775315952.148000
113 255 1775315952.164000
114 260 1775315952.181000
114 264 1775315952.198000
115 268 1775315952.214000
116 272 1775315952.231000
117 274 1775315952.247000
119 276 1775315952.264000
122 278 1775315952.281000
128 280 1775315952.298000
136 283 1775315952.314000
141 283 1775315952.330000
145 283 1775315952.347000
148 282 1775315952.364000
152 278 1775315952.380000
155 272 1775315952.397000
157 262 1775315952.413000
157 249 1775315952.430000
157 234 1775315952.448000
156 226 1775315952.463000
156 221 1775315952.480000
156 221 1775315952.490000

STROKE 4
172 195 1775315952.980000
173 192 1775315953.062000
176 187 1775315953.078000
181 179 1775315953.095000
187 174 1775315953.112000
194 172 1775315953.128000
199 173 1775315953.145000
205 178 1775315953.162000
209 185 1775315953.179000
210 195 1775315953.195000
210 203 1775315953.212000
207 211 1775315953.228000
203 218 1775315953.245000
199 223 1775315953.262000
194 227 1775315953.278000
191 230 1775315953.295000

STROKE 5
265 218 1775315956.538000
264 218 1775315956.670000
261 218 1775315956.687000
254 217 1775315956.703000
245 216 1775315956.720000
234 212 1775315956.736000
230 208 1775315956.753000
228 203 1775315956.770000
227 199 1775315956.787000
229 193 1775315956.803000
233 187 1775315956.820000
240 182 1775315956.836000
248 179 1775315956.853000
254 177 1775315956.870000
259 177 1775315956.886000
261 177 1775315956.903000
262 177 1775315956.919000
263 177 1775315956.932000

STROKE 6
249 177 1775315957.261000
249 177 1775315957.352000
247 177 1775315957.368000
240 174 1775315957.386000
233 169 1775315957.401000
229 165 1775315957.418000
227 160 1775315957.435000
228 154 1775315957.452000
233 144 1775315957.468000
240 137 1775315957.485000
250 133 1775315957.501000
259 132 1775315957.518000
274 135 1775315957.535000
283 138 1775315957.551000
287 141 1775315957.566000

STROKE 7
287 182 1775315958.016000
287 182 1775315958.133000
289 182 1775315958.150000
290 182 1775315958.166000
292 183 1775315958.183000
293 183 1775315958.200000
293 183 1775315958.230000
292 183 1775315958.251000
290 183 1775315958.266000
289 182 1775315958.283000
289 181 1775315958.299000
289 180 1775315958.316000
289 180 1775315958.333000
289 179 1775315958.349000
289 179 1775315958.366000
290 179 1775315958.382000
290 179 1775315958.399000
290 179 1775315958.406000

STROKE 8
286 210 1775315958.751000
286 211 1775315958.915000
287 212 1775315958.931000
287 212 1775315958.948000
287 213 1775315958.964000
287 213 1775315958.981000
287 213 1775315959.065000
288 214 1775315959.081000
289 214 1775315959.098000
289 215 1775315959.114000
290 216 1775315959.131000
290 217 1775315959.147000
289 217 1775315959.164000
289 218 1775315959.180000
289 218 1775315959.197000
289 218 1775315959.219000
289 218 1775315959.230000
289 218 1775315959.247000
288 218 1775315959.256000

