STROKE 1
51 152 1777641461.200000
44 157 1777641461.319000
43 161 1777641461.336000
41 167 1777641461.353000
39 172 1777641461.369000
38 177 1777641461.386000
37 183 1777641461.402000
36 188 1777641461.419000
36 193 1777641461.436000
36 197 1777641461.453000
36 201 1777641461.469000
36 204 1777641461.486000
36 207 1777641461.503000
38 210 1777641461.519000
40 212 1777641461.536000
43 214 1777641461.553000
48 216 1777641461.569000
52 219 1777641461.586000
57 220 1777641461.603000
61 221 1777641461.620000
66 222 1777641461.636000
71 223 1777641461.653000
75 223 1777641461.670000
80 223 1777641461.687000
85 223 1777641461.704000
91 223 1777641461.720000
96 223 1777641461.737000
100 221 1777641461.754000
104 218 1777641461.770000
108 215 1777641461.787000
113 211 1777641461.804000
117 205 1777641461.820000
120 200 1777641461.837000
122 193 1777641461.854000
123 187 1777641461.871000
123 179 1777641461.887000
123 171 1777641461.904000
123 163 1777641461.921000
118 156 1777641461.937000
113 149 1777641461.954000
107 145 1777641461.971000
102 141 1777641461.988000
97 138 1777641462.004000
94 135 1777641462.021000
92 134 1777641462.038000
92 136 1777641462.089000

STROKE 2
49 194 1777641462.560000
55 185 1777641462.607000
55 183 1777641462.624000
56 181 1777641462.641000
59 178 1777641462.657000
64 177 1777641462.674000
68 176 1777641462.691000
73 176 1777641462.708000
79 176 1777641462.724000
87 177 1777641462.741000
95 179 1777641462.757000
100 182 1777641462.774000
104 183 1777641462.791000
106 185 1777641462.808000
107 186 1777641462.824000
107 187 1777641462.841000
108 188 1777641462.858000
109 189 1777641462.874000
110 189 1777641462.891000
110 190 1777641462.908000
110 191 1777641462.925000
111 193 1777641462.958000
111 194 1777641462.975000
111 195 1777641463.013000

STROKE 3
159 150 1777641463.527000
156 140 1777641463.594000
156 138 1777641463.611000
156 136 1777641463.628000
156 134 1777641463.644000
157 132 1777641463.661000
159 131 1777641463.678000
164 130 1777641463.695000
168 129 1777641463.711000
173 129 1777641463.728000
179 129 1777641463.745000
186 131 1777641463.761000
193 136 1777641463.778000
200 142 1777641463.795000
205 149 1777641463.811000
209 157 1777641463.828000
211 166 1777641463.845000
211 176 1777641463.862000
211 186 1777641463.878000
205 197 1777641463.895000
197 207 1777641463.912000
189 214 1777641463.928000
181 220 1777641463.945000
174 222 1777641463.962000
168 222 1777641463.979000
162 222 1777641463.996000
158 221 1777641464.012000
153 220 1777641464.029000
149 218 1777641464.046000
146 215 1777641464.063000
144 213 1777641464.079000
142 210 1777641464.096000
141 207 1777641464.113000
141 205 1777641464.129000
141 204 1777641464.146000
141 205 1777641464.315000
142 209 1777641464.331000
144 219 1777641464.348000
145 233 1777641464.364000
146 248 1777641464.381000
146 262 1777641464.397000
146 274 1777641464.414000
146 284 1777641464.430000
146 293 1777641464.447000
146 299 1777641464.464000
146 301 1777641464.481000
146 302 1777641464.502000
146 301 1777641464.548000
146 300 1777641464.565000
148 299 1777641464.582000
159 298 1777641464.598000
180 297 1777641464.615000
206 297 1777641464.631000
228 296 1777641464.648000
247 294 1777641464.665000
261 293 1777641464.682000
266 292 1777641464.699000
265 292 1777641464.749000
264 292 1777641464.766000
263 292 1777641464.788000

STROKE 4
240 126 1777641465.186000
250 121 1777641465.217000
259 121 1777641465.234000
267 121 1777641465.251000
274 122 1777641465.267000
280 126 1777641465.284000
284 134 1777641465.301000
286 144 1777641465.317000
287 154 1777641465.334000
287 166 1777641465.351000
285 175 1777641465.368000
280 183 1777641465.384000
273 189 1777641465.401000
265 193 1777641465.418000
257 194 1777641465.434000
249 195 1777641465.451000
241 195 1777641465.468000
234 195 1777641465.485000
226 195 1777641465.501000
220 193 1777641465.518000
213 190 1777641465.535000
207 186 1777641465.552000
203 182 1777641465.568000
201 179 1777641465.585000
200 177 1777641465.602000
200 176 1777641465.623000

STROKE 5
255 105 1777641466.104000
254 102 1777641466.137000
243 102 1777641466.154000
231 100 1777641466.171000
219 94 1777641466.187000
211 86 1777641466.204000
209 75 1777641466.221000
210 64 1777641466.238000
220 54 1777641466.255000
234 46 1777641466.271000
248 42 1777641466.288000
265 41 1777641466.304000
286 42 1777641466.321000
304 50 1777641466.338000
313 60 1777641466.355000
317 72 1777641466.371000

STROKE 6
261 227 1777641469.645000
270 236 1777641469.836000
268 238 1777641469.852000
266 238 1777641469.869000
265 238 1777641469.885000
264 238 1777641469.902000
262 238 1777641469.919000
261 238 1777641469.935000
260 238 1777641469.969000
259 237 1777641469.986000
259 235 1777641470.002000
259 234 1777641470.019000
259 233 1777641470.036000
259 232 1777641470.052000
259 231 1777641470.069000
259 230 1777641470.103000
261 229 1777641470.119000
263 229 1777641470.136000
264 229 1777641470.153000
265 229 1777641470.170000
267 229 1777641470.186000
268 229 1777641470.203000
269 230 1777641470.220000
270 232 1777641470.236000
270 233 1777641470.253000
270 234 1777641470.270000
270 235 1777641470.286000
270 236 1777641470.303000
270 238 1777641470.320000

