STROKE 1
207 219 1775074834.2010937
206 219 1775074834.2210586
206 218 1775074834.2279956
205 218 1775074834.2331543
205 217 1775074834.237119
204 217 1775074834.2413023
203 216 1775074834.250779
202 215 1775074834.256652
202 214 1775074834.2607126
201 214 1775074834.2626698
201 213 1775074834.2645218
200 212 1775074834.2687051
200 211 1775074834.2727497
199 211 1775074834.275452
199 210 1775074834.2767136
199 209 1775074834.279184
198 208 1775074834.2812393
198 207 1775074834.2846763
197 206 1775074834.2865858
197 205 1775074834.289456
197 204 1775074834.2926817
196 204 1775074834.2947168
196 203 1775074834.297269
196 202 1775074834.300534
195 201 1775074834.3048098
195 200 1775074834.3066442
195 199 1775074834.3106987
195 198 1775074834.3130093
195 197 1775074834.3171122
195 196 1775074834.3191772
195 195 1775074834.3227005
195 194 1775074834.3251894
195 193 1775074834.327036
195 192 1775074834.331004
195 190 1775074834.334759
195 189 1775074834.3367693
196 188 1775074834.3406441
196 187 1775074834.3426526
196 186 1775074834.3450358
197 186 1775074834.3468807
197 185 1775074834.3486478
198 184 1775074834.3515978
198 183 1775074834.3527381
199 182 1775074834.355139
199 181 1775074834.3570747
200 180 1775074834.3593895
201 179 1775074834.361607
202 178 1775074834.3631208
202 177 1775074834.3649282
203 176 1775074834.3677711
204 176 1775074834.369359
205 175 1775074834.3711586
206 174 1775074834.3735538
207 173 1775074834.3754022
209 171 1775074834.3767076
211 170 1775074834.3786457
212 170 1775074834.3813338
213 169 1775074834.3830073
214 168 1775074834.3846536
215 167 1775074834.3867202
216 167 1775074834.3885245
218 166 1775074834.391025
219 165 1775074834.394076
221 165 1775074834.3947892
222 164 1775074834.3968167
224 164 1775074834.3988175
225 163 1775074834.4007301
226 162 1775074834.4030988
228 162 1775074834.4045575
229 162 1775074834.4082916
230 161 1775074834.4091353
231 161 1775074834.4105432
232 161 1775074834.4131725
233 161 1775074834.41587
234 161 1775074834.4166827
235 161 1775074834.4192123
236 161 1775074834.421784
238 159 1775074834.423218
239 159 1775074834.4246032
240 159 1775074834.4286382
241 159 1775074834.4305427
242 159 1775074834.432696
243 159 1775074834.4387257
244 159 1775074834.4446104
245 160 1775074834.4505732
246 160 1775074834.4586825
246 161 1775074834.4605567
247 161 1775074834.4628994
247 162 1775074834.4645007
248 162 1775074834.4667878
248 163 1775074834.4688287
248 164 1775074834.4710536
249 166 1775074834.4728959
251 169 1775074834.4808033
251 170 1775074834.4831119
252 171 1775074834.4859345
252 172 1775074834.4886582
253 174 1775074834.491271
254 176 1775074834.4945333
254 177 1775074834.4967995
254 178 1775074834.4997485
255 179 1775074834.5007548
255 181 1775074834.5025492
256 182 1775074834.504792
256 184 1775074834.5077353
256 186 1775074834.5098681
257 187 1775074834.5124075
257 189 1775074834.5144544
258 190 1775074834.5168521
259 193 1775074834.519291
259 195 1775074834.5234137
260 199 1775074834.5273688
261 199 1775074834.5295463
261 200 1775074834.531448
263 201 1775074834.5340505
263 202 1775074834.535933
263 203 1775074834.5377371
264 204 1775074834.5397422
264 205 1775074834.542035
265 206 1775074834.5436404
266 206 1775074834.5475998
266 207 1775074834.5485296
266 208 1775074834.551085
267 208 1775074834.5533745
268 209 1775074834.5566838
269 210 1775074834.5606487
270 211 1775074834.5650663
271 211 1775074834.5709589
271 212 1775074834.574608
272 212 1775074834.5762887
272 213 1775074834.5787666
273 213 1775074834.583301
274 214 1775074834.5845957
275 214 1775074834.5907145
276 214 1775074834.5949678
277 215 1775074834.6007807
278 215 1775074834.6049445
279 215 1775074834.6106746
280 216 1775074834.6167898
281 216 1775074834.6206696
282 216 1775074834.6267679
283 216 1775074834.630783
284 216 1775074834.6330276
285 216 1775074834.6367023
286 215 1775074834.6407099
287 215 1775074834.6437817
288 215 1775074834.6450105
289 214 1775074834.648805
290 213 1775074834.6517525
291 213 1775074834.6531208
292 212 1775074834.6549888
293 212 1775074834.657515
294 211 1775074834.6601217
295 210 1775074834.662057
296 209 1775074834.6647494
298 208 1775074834.6671374
298 207 1775074834.669551
299 206 1775074834.672447
300 205 1775074834.6742234
301 204 1775074834.6764936
303 200 1775074834.6789503
304 200 1775074834.6805892
304 198 1775074834.683966
305 197 1775074834.685627
306 195 1775074834.6890662
306 194 1775074834.6914775
307 193 1775074834.6933565
307 192 1775074834.69514
308 191 1775074834.6969326
308 190 1775074834.6993117
308 187 1775074834.7016034
308 186 1775074834.7030978
308 185 1775074834.705077
309 183 1775074834.7086031
309 182 1775074834.7114372
309 181 1775074834.71439
309 180 1775074834.7153232
309 179 1775074834.7168746
309 178 1775074834.718701
309 177 1775074834.72136
309 176 1775074834.722936
309 175 1775074834.7248445
309 174 1775074834.7272537
309 173 1775074834.7294607
308 172 1775074834.73158
308 171 1775074834.7341397
307 170 1775074834.7371423
307 169 1775074834.7393265
307 168 1775074834.740814
307 167 1775074834.743669
306 167 1775074834.7465801
306 165 1775074834.7487748
305 165 1775074834.751478
305 164 1775074834.7533715
304 163 1775074834.7571616
304 162 1775074834.7606857
303 162 1775074834.76266
303 161 1775074834.7646205
303 160 1775074834.7688916
302 160 1775074834.7707248
301 160 1775074834.7787352
301 159 1775074834.7827291
