STROKE 1
83 190 1775317762.902000
82 191 1775317763.011000
80 193 1775317763.028000
75 197 1775317763.044000
71 203 1775317763.061000
69 209 1775317763.077000
70 217 1775317763.094000
78 231 1775317763.111000
86 239 1775317763.127000
93 243 1775317763.144000
98 243 1775317763.160000
106 241 1775317763.177000
114 234 1775317763.194000
117 228 1775317763.210000
118 222 1775317763.227000
117 217 1775317763.244000
115 209 1775317763.260000
109 200 1775317763.277000
103 196 1775317763.293000
97 194 1775317763.310000
89 193 1775317763.327000
83 194 1775317763.343000
79 196 1775317763.360000

STROKE 2
118 214 1775317763.709000
118 214 1775317763.792000
119 212 1775317763.809000
122 208 1775317763.825000
131 203 1775317763.843000
138 200 1775317763.859000
145 200 1775317763.875000
153 203 1775317763.892000
161 207 1775317763.908000
167 214 1775317763.926000
169 219 1775317763.942000
169 223 1775317763.958000
167 228 1775317763.975000
162 235 1775317763.992000
154 241 1775317764.008000

STROKE 3
198 207 1775317764.282000
196 208 1775317764.391000
194 210 1775317764.407000
193 214 1775317764.424000
194 222 1775317764.440000
199 230 1775317764.457000
208 235 1775317764.474000
217 236 1775317764.490000
229 233 1775317764.507000
237 230 1775317764.523000
242 225 1775317764.540000
243 222 1775317764.557000
244 220 1775317764.574000
243 216 1775317764.590000
241 212 1775317764.607000
237 208 1775317764.623000
233 205 1775317764.640000
230 204 1775317764.657000

STROKE 4
208 227 1775317764.857000
209 227 1775317764.956000
212 226 1775317764.972000
218 225 1775317764.989000
225 225 1775317765.006000
230 225 1775317765.018000

STROKE 5
236 202 1775317765.266000
235 201 1775317765.355000
230 198 1775317765.372000
222 191 1775317765.389000
211 180 1775317765.405000
207 173 1775317765.422000
208 168 1775317765.438000
213 161 1775317765.455000
225 154 1775317765.471000
234 153 1775317765.488000
245 153 1775317765.504000
257 156 1775317765.521000
267 161 1775317765.538000

STROKE 6
274 217 1775317765.882000
274 217 1775317765.987000
274 216 1775317766.003000
275 215 1775317766.020000
275 215 1775317766.037000
276 215 1775317766.053000
276 215 1775317766.070000
276 215 1775317766.120000
274 214 1775317766.136000
272 214 1775317766.153000
271 213 1775317766.170000
270 212 1775317766.186000
270 212 1775317766.203000

STROKE 7
264 244 1775317771.695000
264 244 1775317771.889000
265 244 1775317771.906000
266 245 1775317771.923000
268 247 1775317771.940000
269 247 1775317771.956000
270 247 1775317771.972000
271 248 1775317771.989000
271 248 1775317772.006000
270 247 1775317772.056000
270 247 1775317772.072000
269 246 1775317772.089000
269 246 1775317772.106000
269 246 1775317772.172000
270 246 1775317772.189000
270 246 1775317772.205000
270 246 1775317772.222000
270 246 1775317772.234000

