STROKE 1
146 185 1775594269.150000
146 185 1775594269.305000
145 187 1775594269.322000
143 192 1775594269.339000
142 199 1775594269.355000
142 206 1775594269.375000
144 214 1775594269.389000
151 223 1775594269.408000
157 226 1775594269.422000
162 227 1775594269.440000
167 227 1775594269.455000
173 225 1775594269.472000
182 220 1775594269.489000
189 214 1775594269.505000
194 208 1775594269.521000
197 201 1775594269.538000
199 196 1775594269.556000
199 193 1775594269.572000
197 189 1775594269.588000
194 186 1775594269.604000
189 183 1775594269.622000
187 182 1775594269.638000
185 182 1775594269.654000

STROKE 2
193 177 1775594270.037000
192 176 1775594270.137000
188 175 1775594270.153000
181 172 1775594270.170000
173 166 1775594270.186000
167 157 1775594270.203000
166 150 1775594270.220000
167 143 1775594270.237000
171 135 1775594270.254000
178 129 1775594270.270000
189 125 1775594270.286000
197 125 1775594270.303000
206 127 1775594270.320000
214 131 1775594270.337000
219 136 1775594270.353000
221 142 1775594270.370000
221 147 1775594270.386000
220 156 1775594270.403000
216 164 1775594270.422000
209 173 1775594270.437000
202 177 1775594270.453000
196 179 1775594270.471000
190 180 1775594270.487000
189 180 1775594270.508000

STROKE 3
173 225 1775594274.225000
173 226 1775594274.327000
173 229 1775594274.343000
171 237 1775594274.360000
169 253 1775594274.378000
168 265 1775594274.393000
168 274 1775594274.410000
168 280 1775594274.426000
168 284 1775594274.443000
169 288 1775594274.460000
170 290 1775594274.477000
171 292 1775594274.493000
173 294 1775594274.510000
177 295 1775594274.527000
182 295 1775594274.546000
190 294 1775594274.559000
200 290 1775594274.576000
209 287 1775594274.593000
213 285 1775594274.606000

STROKE 4
229 194 1775594275.115000
229 193 1775594275.242000
230 192 1775594275.259000
230 191 1775594275.275000
232 190 1775594275.291000
233 190 1775594275.309000
233 190 1775594275.324000
234 190 1775594275.341000
234 190 1775594275.507000
233 190 1775594275.524000
233 191 1775594275.541000
233 192 1775594275.557000
233 192 1775594275.574000
232 192 1775594275.590000
232 192 1775594275.607000
231 191 1775594275.624000
230 190 1775594275.640000
230 190 1775594275.657000
230 189 1775594275.673000
230 189 1775594275.687000

STROKE 5
226 218 1775594282.337000
226 219 1775594283.291000
226 219 1775594283.307000
226 219 1775594283.325000
226 220 1775594283.621000
226 220 1775594283.638000
227 220 1775594283.655000
227 221 1775594283.671000
227 221 1775594283.903000
226 221 1775594283.920000
226 221 1775594283.933000

