STROKE 1
50 258 1776485933.207000
51 256 1776485933.271000
52 254 1776485933.287000
54 249 1776485933.304000
55 246 1776485933.321000
57 245 1776485933.337000
59 245 1776485933.354000
61 246 1776485933.371000
65 250 1776485933.387000
66 253 1776485933.404000
67 255 1776485933.420000
67 257 1776485933.437000
67 259 1776485933.454000
67 260 1776485933.470000
65 260 1776485933.487000
63 261 1776485933.503000
59 261 1776485933.521000
55 261 1776485933.537000
51 259 1776485933.553000
48 254 1776485933.570000
47 248 1776485933.587000
49 237 1776485933.603000
53 230 1776485933.620000
55 226 1776485933.636000
57 224 1776485933.653000
59 223 1776485933.670000
61 223 1776485933.687000
65 223 1776485933.703000
70 227 1776485933.719000
76 234 1776485933.736000
81 247 1776485933.753000
83 255 1776485933.769000
84 263 1776485933.786000
84 272 1776485933.803000
83 283 1776485933.819000
81 298 1776485933.836000
80 309 1776485933.853000
78 321 1776485933.869000
76 332 1776485933.886000
75 342 1776485933.903000
75 352 1776485933.919000
75 356 1776485933.936000
75 360 1776485933.952000
75 362 1776485933.969000
76 363 1776485933.986000
77 364 1776485934.002000
81 364 1776485934.019000
89 363 1776485934.036000
96 362 1776485934.052000
99 361 1776485934.060000

STROKE 2
122 230 1776485934.866000
122 230 1776485934.967000
123 228 1776485934.983000
127 225 1776485935.000000
132 222 1776485935.017000
136 220 1776485935.033000
140 218 1776485935.050000
143 218 1776485935.067000
145 219 1776485935.083000
148 220 1776485935.100000
152 224 1776485935.117000
158 234 1776485935.133000
160 243 1776485935.150000
161 250 1776485935.166000
161 254 1776485935.183000
161 257 1776485935.200000
160 260 1776485935.216000
159 263 1776485935.233000
157 265 1776485935.249000
153 268 1776485935.266000
146 271 1776485935.283000
140 271 1776485935.299000
132 271 1776485935.316000
124 268 1776485935.332000
117 265 1776485935.349000
114 262 1776485935.366000
111 257 1776485935.382000
110 252 1776485935.399000
110 246 1776485935.416000
111 239 1776485935.432000
113 235 1776485935.449000
114 233 1776485935.465000
115 231 1776485935.482000
116 231 1776485935.499000
117 231 1776485935.515000
119 233 1776485935.532000
122 238 1776485935.549000
123 244 1776485935.565000
124 250 1776485935.582000
124 253 1776485935.598000
124 255 1776485935.615000
123 257 1776485935.632000
122 260 1776485935.649000
119 264 1776485935.665000

STROKE 3
159 258 1776485936.480000
159 257 1776485936.546000
160 252 1776485936.563000
163 243 1776485936.579000
167 233 1776485936.596000
171 224 1776485936.613000
177 218 1776485936.630000
183 215 1776485936.646000
188 214 1776485936.663000
196 216 1776485936.679000
206 221 1776485936.696000
213 229 1776485936.713000
218 242 1776485936.729000
219 249 1776485936.746000
218 255 1776485936.762000
217 260 1776485936.779000
214 264 1776485936.796000
209 269 1776485936.812000
204 272 1776485936.829000
201 275 1776485936.843000

STROKE 4
122 295 1776485937.260000
123 295 1776485937.361000
126 295 1776485937.378000
137 296 1776485937.395000
149 299 1776485937.411000
158 304 1776485937.427000
163 309 1776485937.444000
166 314 1776485937.461000
166 319 1776485937.477000
166 324 1776485937.494000
163 329 1776485937.510000
159 334 1776485937.527000
152 339 1776485937.544000
146 341 1776485937.560000
140 341 1776485937.577000
134 339 1776485937.594000
128 337 1776485937.610000
123 334 1776485937.627000
122 331 1776485937.643000
121 330 1776485937.660000
122 327 1776485937.677000
126 324 1776485937.694000
134 320 1776485937.710000
139 320 1776485937.727000
142 320 1776485937.743000
146 321 1776485937.760000
148 323 1776485937.777000
150 325 1776485937.793000
152 327 1776485937.810000
152 328 1776485937.819000

STROKE 5
166 319 1776485939.987000
166 318 1776485940.121000
168 314 1776485940.138000
171 309 1776485940.154000
176 304 1776485940.171000
182 300 1776485940.188000
189 298 1776485940.204000
195 299 1776485940.221000
202 301 1776485940.238000
208 304 1776485940.254000
212 309 1776485940.271000
214 313 1776485940.287000
214 316 1776485940.304000
213 319 1776485940.320000
212 323 1776485940.337000
208 327 1776485940.354000
206 330 1776485940.370000
202 332 1776485940.387000
198 333 1776485940.404000
193 334 1776485940.420000
184 333 1776485940.437000
178 331 1776485940.453000
174 329 1776485940.470000
173 328 1776485940.487000
172 327 1776485940.504000
172 326 1776485940.520000

STROKE 6
254 225 1776485941.362000
254 225 1776485941.534000
252 225 1776485941.551000
247 223 1776485941.568000
244 222 1776485941.584000
242 222 1776485941.601000
240 222 1776485941.617000
238 222 1776485941.634000
235 223 1776485941.650000
233 225 1776485941.667000
232 226 1776485941.684000
232 228 1776485941.700000
234 234 1776485941.717000
238 240 1776485941.734000
244 246 1776485941.750000
250 251 1776485941.767000
255 256 1776485941.784000
261 260 1776485941.800000
263 262 1776485941.817000
264 264 1776485941.833000
265 265 1776485941.850000
265 266 1776485941.867000
265 268 1776485941.883000
263 270 1776485941.900000
257 273 1776485941.917000
251 276 1776485941.934000
243 278 1776485941.950000
239 278 1776485941.967000
236 278 1776485941.983000
233 277 1776485942.000000
230 275 1776485942.017000
229 273 1776485942.033000
229 272 1776485942.050000
229 271 1776485942.066000
231 268 1776485942.083000
234 266 1776485942.100000
238 265 1776485942.116000
241 266 1776485942.133000
247 270 1776485942.149000
253 280 1776485942.167000
258 300 1776485942.183000
259 317 1776485942.199000
259 334 1776485942.216000
259 350 1776485942.233000
258 361 1776485942.249000
258 372 1776485942.266000
259 377 1776485942.282000
259 379 1776485942.299000
259 380 1776485942.312000

STROKE 7
238 218 1776485942.733000
238 218 1776485942.831000
236 217 1776485942.848000
226 207 1776485942.865000
215 195 1776485942.881000
207 182 1776485942.898000
204 172 1776485942.914000
206 164 1776485942.931000
215 158 1776485942.947000
228 157 1776485942.964000
248 162 1776485942.981000
269 177 1776485942.998000

