STROKE 1
76 261 1776830535.347000
74 257 1776830535.568000
69 248 1776830535.584000
65 239 1776830535.601000
64 230 1776830535.621000
68 220 1776830535.649000
72 214 1776830535.665000
75 212 1776830535.682000
77 211 1776830535.699000
79 210 1776830535.715000
82 209 1776830535.732000
85 209 1776830535.748000
89 210 1776830535.765000
95 212 1776830535.782000
100 215 1776830535.798000
105 220 1776830535.815000
107 224 1776830535.831000
110 229 1776830535.848000
112 235 1776830535.864000
114 242 1776830535.881000
116 246 1776830535.898000
117 249 1776830535.914000
118 251 1776830535.931000
120 253 1776830535.948000
121 255 1776830535.964000
123 256 1776830535.981000
125 256 1776830535.998000
127 257 1776830536.014000
132 255 1776830536.031000
138 250 1776830536.047000
143 243 1776830536.064000
146 236 1776830536.081000
148 228 1776830536.097000
148 224 1776830536.114000
148 221 1776830536.131000
147 218 1776830536.147000
146 216 1776830536.164000
143 214 1776830536.181000
141 212 1776830536.197000
138 212 1776830536.214000
136 211 1776830536.230000
135 211 1776830536.238000

STROKE 2
131 261 1776830536.748000
131 264 1776830536.879000
132 270 1776830536.895000
133 283 1776830536.912000
135 300 1776830536.929000
135 310 1776830536.945000
136 316 1776830536.962000
136 320 1776830536.979000
137 322 1776830536.996000
137 323 1776830537.012000
138 324 1776830537.028000
140 324 1776830537.045000
145 324 1776830537.062000
153 324 1776830537.078000
158 324 1776830537.095000
162 324 1776830537.110000

STROKE 3
173 217 1776830537.554000
174 217 1776830537.661000
175 215 1776830537.677000
177 213 1776830537.694000
180 212 1776830537.710000
183 211 1776830537.727000
187 211 1776830537.743000
191 212 1776830537.760000
196 213 1776830537.776000
200 216 1776830537.793000
204 218 1776830537.810000
206 220 1776830537.827000
208 223 1776830537.843000
209 227 1776830537.860000
210 232 1776830537.876000
210 239 1776830537.893000
209 246 1776830537.909000
208 251 1776830537.926000
206 254 1776830537.943000
203 256 1776830537.960000
200 259 1776830537.976000
198 259 1776830537.993000
195 260 1776830538.009000
193 261 1776830538.026000
189 261 1776830538.043000
186 260 1776830538.059000
181 257 1776830538.076000
177 251 1776830538.092000
174 240 1776830538.110000
173 234 1776830538.126000
173 230 1776830538.142000
173 226 1776830538.159000
174 223 1776830538.176000
175 220 1776830538.192000
178 216 1776830538.209000
182 214 1776830538.226000
184 213 1776830538.240000

STROKE 4
211 225 1776830538.697000
212 224 1776830538.807000
215 221 1776830538.824000
219 218 1776830538.841000
225 214 1776830538.857000
231 212 1776830538.874000
235 211 1776830538.891000
239 212 1776830538.907000
243 212 1776830538.924000
247 215 1776830538.941000
250 217 1776830538.957000
253 221 1776830538.974000
254 225 1776830538.990000
255 232 1776830539.007000
254 242 1776830539.023000
252 249 1776830539.040000
250 254 1776830539.057000
247 256 1776830539.073000
245 259 1776830539.090000
244 259 1776830539.107000
243 260 1776830539.122000

STROKE 5
234 200 1776830539.570000
233 200 1776830539.705000
230 198 1776830539.722000
224 194 1776830539.739000
216 185 1776830539.755000
213 177 1776830539.772000
212 171 1776830539.788000
214 165 1776830539.805000
218 160 1776830539.822000
227 156 1776830539.838000
238 155 1776830539.855000
251 156 1776830539.872000
262 159 1776830539.888000
265 160 1776830539.896000

