STROKE 1
120 218 1776200812.597000
121 218 1776200812.718000
125 217 1776200812.735000
131 216 1776200812.751000
139 218 1776200812.768000
148 223 1776200812.785000
155 232 1776200812.802000
158 244 1776200812.818000
157 252 1776200812.835000
153 260 1776200812.851000
148 267 1776200812.868000
138 274 1776200812.885000
130 276 1776200812.901000
123 276 1776200812.918000
115 274 1776200812.934000
108 271 1776200812.951000
105 268 1776200812.968000
104 266 1776200812.984000
104 265 1776200813.001000
106 261 1776200813.018000
114 256 1776200813.034000
120 255 1776200813.051000
127 255 1776200813.067000
133 257 1776200813.084000
141 261 1776200813.101000
144 264 1776200813.117000
146 266 1776200813.134000
147 267 1776200813.149000

STROKE 2
136 268 1776200813.526000
136 270 1776200813.649000
135 275 1776200813.666000
134 288 1776200813.683000
133 306 1776200813.700000
131 326 1776200813.716000
130 336 1776200813.733000
130 342 1776200813.749000
129 346 1776200813.766000
129 348 1776200813.783000
129 350 1776200813.799000
129 350 1776200813.816000
129 351 1776200813.833000
130 351 1776200813.849000
137 352 1776200813.865000
150 351 1776200813.882000
164 348 1776200813.899000
176 346 1776200813.916000
187 343 1776200813.932000
190 342 1776200813.949000

STROKE 3
144 220 1776200814.406000
143 220 1776200814.464000
140 218 1776200814.480000
131 214 1776200814.497000
113 202 1776200814.515000
101 190 1776200814.531000
94 179 1776200814.547000
91 170 1776200814.564000
92 162 1776200814.581000
99 149 1776200814.597000
109 141 1776200814.614000
119 138 1776200814.631000
129 137 1776200814.647000
141 140 1776200814.664000
155 148 1776200814.680000
163 154 1776200814.697000
166 161 1776200814.714000
167 168 1776200814.730000
163 179 1776200814.747000
155 190 1776200814.763000
145 198 1776200814.780000
137 203 1776200814.797000
130 207 1776200814.814000
127 208 1776200814.830000
126 208 1776200814.840000

