STROKE 1
98 206 1776489537.266000
98 205 1776489537.372000
100 203 1776489537.388000
105 200 1776489537.405000
113 199 1776489537.422000
119 200 1776489537.438000
126 203 1776489537.454000
133 208 1776489537.471000
137 213 1776489537.488000
142 222 1776489537.505000
143 231 1776489537.521000
142 240 1776489537.538000
139 250 1776489537.554000
133 258 1776489537.571000
127 262 1776489537.587000
120 264 1776489537.604000
113 265 1776489537.620000
106 265 1776489537.637000
97 265 1776489537.654000
92 264 1776489537.670000
89 263 1776489537.687000
87 262 1776489537.704000
86 259 1776489537.721000
87 254 1776489537.737000
92 247 1776489537.754000
99 242 1776489537.770000
105 241 1776489537.787000
116 244 1776489537.804000
123 249 1776489537.820000
127 253 1776489537.837000
129 255 1776489537.851000

STROKE 2
114 273 1776489538.244000
115 273 1776489538.336000
118 274 1776489538.352000
125 276 1776489538.369000
133 281 1776489538.386000
142 288 1776489538.403000
146 294 1776489538.419000
148 300 1776489538.436000
149 307 1776489538.452000
148 314 1776489538.469000
144 324 1776489538.485000
140 330 1776489538.502000
135 334 1776489538.519000
129 337 1776489538.535000
122 339 1776489538.552000
115 338 1776489538.568000
107 335 1776489538.585000
98 330 1776489538.602000
90 322 1776489538.618000
82 311 1776489538.635000
80 303 1776489538.652000
80 295 1776489538.668000
82 287 1776489538.685000
87 279 1776489538.702000
94 274 1776489538.718000
99 273 1776489538.735000
105 273 1776489538.751000
112 276 1776489538.768000
115 277 1776489538.775000

STROKE 3
212 264 1776489539.410000
212 264 1776489539.601000
209 264 1776489539.618000
202 264 1776489539.634000
185 263 1776489539.657000
172 258 1776489539.683000
165 249 1776489539.699000
164 241 1776489539.716000
167 231 1776489539.733000
172 221 1776489539.749000
180 212 1776489539.766000
186 208 1776489539.782000
191 205 1776489539.799000
195 203 1776489539.815000
198 202 1776489539.832000
201 202 1776489539.848000
204 203 1776489539.865000
206 204 1776489539.882000

STROKE 4
206 206 1776489540.453000
205 205 1776489540.530000
202 204 1776489540.547000
195 199 1776489540.564000
183 191 1776489540.580000
173 180 1776489540.597000
166 167 1776489540.613000
165 160 1776489540.630000
167 150 1776489540.647000
177 139 1776489540.664000
186 135 1776489540.680000
195 134 1776489540.697000
204 134 1776489540.713000
215 138 1776489540.730000
225 144 1776489540.748000

