STROKE 1
92 164 1775318299.117000
91 163 1775318299.237000
87 163 1775318299.253000
76 163 1775318299.270000
64 165 1775318299.286000
55 170 1775318299.303000
49 177 1775318299.319000
46 184 1775318299.336000
46 192 1775318299.353000
48 199 1775318299.369000
52 204 1775318299.386000
58 207 1775318299.403000
65 209 1775318299.420000
73 209 1775318299.436000
80 208 1775318299.453000
85 206 1775318299.469000
88 205 1775318299.486000
89 203 1775318299.502000
89 201 1775318299.519000
84 197 1775318299.536000
76 193 1775318299.552000
63 193 1775318299.569000
53 195 1775318299.586000
48 198 1775318299.602000
47 199 1775318299.612000

STROKE 2
111 171 1775318300.028000
111 170 1775318300.117000
112 169 1775318300.134000
118 166 1775318300.151000
124 164 1775318300.167000
132 163 1775318300.184000
138 164 1775318300.201000
144 167 1775318300.217000
148 170 1775318300.234000
150 173 1775318300.251000
149 178 1775318300.267000
146 185 1775318300.284000
140 195 1775318300.301000
135 200 1775318300.317000
130 204 1775318300.334000
125 206 1775318300.350000
118 208 1775318300.368000
115 207 1775318300.384000
112 206 1775318300.400000
110 205 1775318300.417000
109 204 1775318300.433000
110 200 1775318300.451000
115 195 1775318300.467000
122 191 1775318300.483000
129 188 1775318300.500000
134 188 1775318300.517000
137 188 1775318300.533000

STROKE 3
182 169 1775318300.882000
182 169 1775318300.949000
180 169 1775318300.966000
176 170 1775318300.982000
171 173 1775318300.999000
166 178 1775318301.015000
164 184 1775318301.033000
166 191 1775318301.049000
170 198 1775318301.065000
177 204 1775318301.082000
185 206 1775318301.099000
192 208 1775318301.115000
196 208 1775318301.132000
200 206 1775318301.148000
203 204 1775318301.165000
207 198 1775318301.182000
209 193 1775318301.198000
209 187 1775318301.215000
208 181 1775318301.232000
203 172 1775318301.249000
197 167 1775318301.265000
190 164 1775318301.281000
184 163 1775318301.298000
177 164 1775318301.315000
170 168 1775318301.333000

STROKE 4
211 178 1775318301.708000
211 177 1775318301.813000
214 175 1775318301.830000
223 171 1775318301.847000
234 169 1775318301.863000
244 168 1775318301.880000
255 171 1775318301.897000
263 174 1775318301.914000
267 178 1775318301.930000
268 180 1775318301.946000
267 183 1775318301.963000
263 188 1775318301.980000
256 193 1775318301.997000
249 196 1775318302.013000
246 198 1775318302.028000

STROKE 5
249 170 1775318302.268000
248 169 1775318302.345000
242 166 1775318302.362000
233 160 1775318302.379000
225 151 1775318302.395000
221 143 1775318302.412000
222 134 1775318302.429000
228 126 1775318302.445000
239 120 1775318302.462000
253 118 1775318302.478000
266 119 1775318302.495000
282 124 1775318302.512000

