STROKE 1
193 207 1775145571.5338893
192 206 1775145571.5411463
191 205 1775145571.6027021
190 204 1775145571.6304328
190 203 1775145571.6444857
190 201 1775145571.651898
190 200 1775145571.6593308
190 197 1775145571.6653311
190 194 1775145571.6726785
190 192 1775145571.6803203
190 190 1775145571.6863525
191 187 1775145571.6938899
191 185 1775145571.7003617
192 183 1775145571.707395
193 181 1775145571.7142887
193 180 1775145571.7213066
194 178 1775145571.728273
195 178 1775145571.7354498
195 177 1775145571.7424026
196 176 1775145571.7491992
196 175 1775145571.7699933
197 174 1775145571.7767313
197 173 1775145571.7909346
198 173 1775145571.797707
199 172 1775145571.8047454
200 171 1775145571.811698
201 171 1775145571.8187733
203 170 1775145571.8257618
205 169 1775145571.8327475
208 169 1775145571.8396273
211 168 1775145571.8467507
214 167 1775145571.853726
217 167 1775145571.8606803
220 167 1775145571.867682
223 167 1775145571.8746793
226 167 1775145571.8816721
229 167 1775145571.8886943
231 167 1775145571.8956618
233 168 1775145571.9026434
235 168 1775145571.9096177
237 169 1775145571.9165823
238 170 1775145571.923679
240 171 1775145571.9306574
242 172 1775145571.9377503
243 173 1775145571.9447374
244 174 1775145571.95167
245 176 1775145571.9586813
246 177 1775145571.9656544
246 178 1775145571.972679
247 180 1775145571.9796894
247 181 1775145571.9866445
247 183 1775145571.9936666
247 184 1775145572.0006287
247 186 1775145572.00764
247 188 1775145572.014678
247 190 1775145572.0216043
247 193 1775145572.0285826
246 195 1775145572.0355747
246 197 1775145572.0425303
245 199 1775145572.049532
244 202 1775145572.0565093
242 204 1775145572.063549
241 206 1775145572.0705523
240 209 1775145572.0775309
238 211 1775145572.0846624
237 213 1775145572.0915308
236 215 1775145572.0986056
235 217 1775145572.1055455
234 218 1775145572.1125565
233 219 1775145572.1195478
232 220 1775145572.1266494
231 221 1775145572.1335664
230 222 1775145572.1406016
229 223 1775145572.1544888
228 224 1775145572.1616406
226 225 1775145572.1685338
225 226 1775145572.1755772
223 226 1775145572.1824586
221 227 1775145572.1894271
220 228 1775145572.1964512
218 228 1775145572.2033453
216 229 1775145572.2102964
