STROKE 1
135 235 1777654672.060000
124 222 1777654672.186000
124 219 1777654672.203000
125 215 1777654672.220000
127 212 1777654672.236000
130 210 1777654672.253000
135 208 1777654672.270000
139 207 1777654672.286000
143 207 1777654672.303000
147 207 1777654672.320000
149 207 1777654672.337000
152 207 1777654672.354000
154 208 1777654672.370000
155 211 1777654672.387000
156 215 1777654672.403000
157 218 1777654672.420000
157 221 1777654672.437000
157 224 1777654672.453000
157 227 1777654672.470000
157 229 1777654672.487000
156 231 1777654672.504000
154 232 1777654672.520000
150 233 1777654672.537000
145 233 1777654672.554000
139 233 1777654672.571000
134 233 1777654672.587000
129 233 1777654672.604000
126 231 1777654672.621000
123 228 1777654672.638000
121 223 1777654672.654000
119 218 1777654672.671000
118 212 1777654672.688000
118 207 1777654672.704000
118 202 1777654672.721000
118 198 1777654672.738000
118 193 1777654672.755000
120 189 1777654672.771000
123 185 1777654672.788000
127 183 1777654672.805000
131 182 1777654672.822000
136 181 1777654672.838000
141 181 1777654672.855000
145 181 1777654672.872000
148 181 1777654672.889000
150 182 1777654672.906000
152 183 1777654672.922000
153 184 1777654672.939000
155 185 1777654672.955000

STROKE 2
207 229 1777654673.728000
201 229 1777654673.843000
196 229 1777654673.860000
190 228 1777654673.876000
185 226 1777654673.893000
180 222 1777654673.909000
176 217 1777654673.926000
175 211 1777654673.943000
175 205 1777654673.960000
175 201 1777654673.976000
175 197 1777654673.993000
176 193 1777654674.009000
179 189 1777654674.026000
182 185 1777654674.043000
186 181 1777654674.060000
191 179 1777654674.076000
196 177 1777654674.093000
200 177 1777654674.110000
204 176 1777654674.126000
208 176 1777654674.143000
211 176 1777654674.160000
215 177 1777654674.177000
218 178 1777654674.193000
220 181 1777654674.210000
222 183 1777654674.227000
223 185 1777654674.244000
224 188 1777654674.260000
224 190 1777654674.277000
224 193 1777654674.294000
224 195 1777654674.310000
224 198 1777654674.327000
222 200 1777654674.344000
219 201 1777654674.361000
216 202 1777654674.378000
212 203 1777654674.394000
208 203 1777654674.411000
205 203 1777654674.428000
202 203 1777654674.444000
199 202 1777654674.461000
197 200 1777654674.478000
196 198 1777654674.495000
196 197 1777654674.511000
196 195 1777654674.528000
196 194 1777654674.545000
198 194 1777654674.578000
201 194 1777654674.595000
204 194 1777654674.612000
206 194 1777654674.628000
208 197 1777654674.645000
210 200 1777654674.662000
212 203 1777654674.679000
214 206 1777654674.695000
215 208 1777654674.712000
216 210 1777654674.729000
217 211 1777654674.746000
219 211 1777654674.762000

STROKE 3
226 198 1777654675.419000
230 192 1777654675.516000
233 187 1777654675.532000
236 183 1777654675.549000
241 179 1777654675.566000
246 176 1777654675.582000
250 174 1777654675.599000
253 173 1777654675.616000
256 172 1777654675.632000
259 172 1777654675.649000
261 172 1777654675.666000
264 172 1777654675.682000
266 173 1777654675.699000
269 175 1777654675.716000
272 178 1777654675.732000
274 182 1777654675.749000
276 187 1777654675.766000
278 193 1777654675.783000
279 197 1777654675.799000
279 201 1777654675.816000
279 205 1777654675.833000
279 208 1777654675.850000
279 212 1777654675.867000
277 217 1777654675.884000
273 221 1777654675.900000
268 225 1777654675.917000
263 227 1777654675.933000
259 228 1777654675.950000
256 228 1777654675.967000
255 228 1777654675.983000
254 228 1777654676.000000
253 228 1777654676.021000

STROKE 4
339 217 1777654682.089000
339 219 1777654682.224000
333 219 1777654682.241000
326 220 1777654682.257000
319 220 1777654682.274000
312 220 1777654682.291000
305 216 1777654682.308000
299 211 1777654682.324000
295 208 1777654682.341000
292 204 1777654682.358000
290 200 1777654682.375000
289 195 1777654682.391000
289 189 1777654682.408000
289 184 1777654682.425000
289 179 1777654682.441000
290 175 1777654682.458000
294 171 1777654682.475000
300 168 1777654682.491000
306 166 1777654682.508000
312 164 1777654682.525000
317 164 1777654682.542000
322 164 1777654682.558000
327 164 1777654682.575000
330 164 1777654682.592000
332 164 1777654682.608000
333 164 1777654682.625000
334 165 1777654682.642000
335 165 1777654682.659000
335 166 1777654682.675000
335 167 1777654682.709000

STROKE 5
323 140 1777654683.315000
317 143 1777654683.412000
309 144 1777654683.429000
301 145 1777654683.446000
292 145 1777654683.462000
285 142 1777654683.479000
280 137 1777654683.495000
277 130 1777654683.512000
277 123 1777654683.529000
277 117 1777654683.546000
280 111 1777654683.562000
284 106 1777654683.579000
290 102 1777654683.596000
297 100 1777654683.612000
304 99 1777654683.629000
311 99 1777654683.646000
315 99 1777654683.663000
318 99 1777654683.679000
321 99 1777654683.696000
322 99 1777654683.713000
324 99 1777654683.729000
325 99 1777654683.763000
325 100 1777654683.780000

