STROKE 1
140 180 1775154206.582000
140 180 1775154206.759000
134 180 1775154206.775000
122 183 1775154206.792000
110 188 1775154206.809000
101 195 1775154206.825000
97 202 1775154206.842000
95 209 1775154206.859000
95 218 1775154206.875000
97 232 1775154206.892000
99 241 1775154206.909000
101 246 1775154206.925000
103 249 1775154206.942000
106 251 1775154206.959000
109 252 1775154206.975000
114 251 1775154206.992000
122 247 1775154207.008000
129 241 1775154207.025000
134 233 1775154207.041000
137 228 1775154207.058000
137 225 1775154207.075000
137 222 1775154207.091000
133 216 1775154207.108000
126 212 1775154207.125000
119 210 1775154207.141000
114 210 1775154207.158000
109 211 1775154207.175000
103 217 1775154207.191000

STROKE 2
179 180 1775154207.813000
178 180 1775154207.906000
177 184 1775154207.923000
174 193 1775154207.939000
172 207 1775154207.956000
171 220 1775154207.973000
172 235 1775154207.989000
174 243 1775154208.006000
178 248 1775154208.022000
182 252 1775154208.039000
186 254 1775154208.056000
192 254 1775154208.072000
197 253 1775154208.089000
205 249 1775154208.106000
212 241 1775154208.122000
218 230 1775154208.139000
221 222 1775154208.155000
222 216 1775154208.172000
223 210 1775154208.189000
222 204 1775154208.206000
217 194 1775154208.222000
211 188 1775154208.239000
204 183 1775154208.255000
197 181 1775154208.272000
190 180 1775154208.289000
185 182 1775154208.305000
182 183 1775154208.315000

