STROKE 1
152 239 1777653660.140000
142 226 1777653660.289000
142 223 1777653660.305000
141 220 1777653660.322000
140 215 1777653660.339000
140 211 1777653660.355000
140 207 1777653660.372000
140 203 1777653660.389000
140 200 1777653660.405000
143 197 1777653660.422000
147 194 1777653660.439000
151 192 1777653660.455000
155 190 1777653660.472000
158 189 1777653660.489000
162 187 1777653660.506000
166 186 1777653660.523000
170 186 1777653660.539000
174 186 1777653660.556000
177 186 1777653660.572000
180 188 1777653660.589000
183 192 1777653660.606000
185 194 1777653660.623000
186 198 1777653660.639000
188 201 1777653660.656000
190 204 1777653660.673000
191 208 1777653660.689000
192 211 1777653660.706000
192 214 1777653660.723000
192 217 1777653660.740000
192 221 1777653660.756000
191 225 1777653660.773000
189 228 1777653660.790000
187 231 1777653660.807000
185 232 1777653660.823000
184 233 1777653660.840000
184 231 1777653660.941000

STROKE 2
182 153 1777653672.890000
178 145 1777653672.971000
178 139 1777653672.987000
179 131 1777653673.004000
183 126 1777653673.021000
188 122 1777653673.037000
193 120 1777653673.054000
198 119 1777653673.071000
202 119 1777653673.088000
204 119 1777653673.104000
205 119 1777653673.121000
206 120 1777653673.137000
206 121 1777653673.171000
206 122 1777653673.188000
206 123 1777653673.204000
206 125 1777653673.221000
207 127 1777653673.238000
207 131 1777653673.255000
207 135 1777653673.271000
207 140 1777653673.288000
207 144 1777653673.305000
208 149 1777653673.321000
208 155 1777653673.338000
209 163 1777653673.355000
210 171 1777653673.371000
210 178 1777653673.388000
211 185 1777653673.405000
212 192 1777653673.422000
212 199 1777653673.438000
212 206 1777653673.455000
212 213 1777653673.472000
212 220 1777653673.489000
212 226 1777653673.506000
212 230 1777653673.523000
212 232 1777653673.539000
212 231 1777653673.589000
214 231 1777653673.606000
216 231 1777653673.623000

STROKE 3
244 197 1777653674.291000
243 195 1777653674.493000
244 195 1777653674.510000
245 195 1777653674.526000
246 195 1777653674.543000
245 193 1777653674.660000
244 190 1777653674.677000
244 187 1777653674.694000
244 185 1777653674.711000
244 184 1777653674.727000
245 184 1777653674.744000
246 184 1777653674.761000
247 184 1777653674.777000
247 186 1777653674.811000
247 188 1777653674.828000
246 190 1777653674.844000
244 191 1777653674.861000
243 191 1777653674.877000

STROKE 4
256 238 1777653675.649000
254 234 1777653675.848000
253 237 1777653675.865000
251 238 1777653675.882000
249 239 1777653675.898000
247 239 1777653675.915000
246 239 1777653675.932000
246 237 1777653675.965000
247 235 1777653675.982000
249 234 1777653675.999000
251 233 1777653676.016000
252 233 1777653676.032000
253 233 1777653676.049000

