STROKE 1
62 244 1776489923.402000
62 243 1776489923.475000
63 242 1776489923.492000
66 241 1776489923.509000
75 242 1776489923.526000
84 246 1776489923.542000
91 251 1776489923.559000
96 256 1776489923.575000
99 260 1776489923.592000
101 266 1776489923.609000
102 270 1776489923.625000
101 275 1776489923.642000
98 280 1776489923.658000
91 286 1776489923.675000
84 288 1776489923.691000
76 290 1776489923.708000
70 291 1776489923.725000
64 290 1776489923.741000
59 290 1776489923.758000
56 289 1776489923.775000
55 289 1776489923.791000
53 288 1776489923.808000
53 288 1776489923.816000

STROKE 2
125 252 1776489924.052000
125 252 1776489924.140000
126 251 1776489924.157000
128 250 1776489924.173000
132 249 1776489924.190000
137 250 1776489924.207000
145 254 1776489924.224000
149 257 1776489924.240000
151 259 1776489924.257000
153 261 1776489924.273000
154 265 1776489924.290000
154 268 1776489924.307000
152 273 1776489924.323000
148 278 1776489924.340000
139 282 1776489924.357000
130 283 1776489924.373000
122 283 1776489924.390000
115 282 1776489924.406000
110 281 1776489924.423000
106 280 1776489924.440000

STROKE 3
136 254 1776489924.770000
134 251 1776489924.839000
129 246 1776489924.855000
121 237 1776489924.872000
112 223 1776489924.889000
107 215 1776489924.905000
106 208 1776489924.922000
107 201 1776489924.939000
112 193 1776489924.955000
122 187 1776489924.972000
130 185 1776489924.988000
138 185 1776489925.005000
147 187 1776489925.022000
159 196 1776489925.039000
165 203 1776489925.055000
168 209 1776489925.071000
169 217 1776489925.088000
167 227 1776489925.105000
161 243 1776489925.122000
155 250 1776489925.138000
149 255 1776489925.155000
145 257 1776489925.171000
142 258 1776489925.188000

STROKE 4
187 260 1776489925.658000
186 260 1776489925.770000
185 260 1776489925.787000
183 261 1776489925.803000
180 264 1776489925.820000
178 268 1776489925.836000
177 273 1776489925.853000
178 280 1776489925.870000
182 286 1776489925.886000
188 291 1776489925.903000
194 293 1776489925.919000
200 294 1776489925.936000
208 294 1776489925.953000
214 291 1776489925.969000
220 287 1776489925.986000
224 282 1776489926.003000
227 277 1776489926.019000
229 271 1776489926.036000
230 267 1776489926.052000
230 262 1776489926.069000
228 256 1776489926.086000
225 251 1776489926.102000
223 249 1776489926.119000
222 248 1776489926.136000
221 248 1776489926.144000

STROKE 5
177 277 1776489926.396000
180 276 1776489926.501000
185 276 1776489926.518000
195 275 1776489926.535000
207 275 1776489926.551000
215 276 1776489926.568000
220 277 1776489926.585000
221 278 1776489926.594000

STROKE 6
211 236 1776489926.922000
209 235 1776489927.000000
205 233 1776489927.017000
198 227 1776489927.033000
191 219 1776489927.050000
189 209 1776489927.066000
193 195 1776489927.083000
203 187 1776489927.100000
215 183 1776489927.117000
226 183 1776489927.133000
242 188 1776489927.150000
247 190 1776489927.157000

