STROKE 1
79 263 1775598521.311000
79 263 1775598521.445000
80 262 1775598521.462000
84 260 1775598521.478000
88 260 1775598521.495000
92 260 1775598521.511000
96 261 1775598521.529000
98 261 1775598521.545000
99 262 1775598521.562000
100 264 1775598521.578000
99 265 1775598521.595000
97 266 1775598521.612000
93 267 1775598521.628000
88 266 1775598521.645000
83 265 1775598521.661000
77 258 1775598521.679000
75 250 1775598521.695000
76 240 1775598521.711000
81 230 1775598521.728000
86 225 1775598521.745000
92 223 1775598521.762000
97 223 1775598521.778000

STROKE 2
130 230 1775598522.149000
129 230 1775598522.260000
127 234 1775598522.277000
123 240 1775598522.294000
121 246 1775598522.310000
121 251 1775598522.326000
123 259 1775598522.343000
128 264 1775598522.360000
134 266 1775598522.377000
139 268 1775598522.393000
146 267 1775598522.410000
151 266 1775598522.426000
155 265 1775598522.443000
159 262 1775598522.459000
162 254 1775598522.478000
162 245 1775598522.493000
161 236 1775598522.509000
158 229 1775598522.526000
153 225 1775598522.542000
145 223 1775598522.559000
137 224 1775598522.576000
128 229 1775598522.593000
122 236 1775598522.609000
121 238 1775598522.617000

STROKE 3
165 258 1775598523.035000
165 258 1775598523.108000
165 256 1775598523.124000
167 247 1775598523.141000
172 237 1775598523.158000
178 229 1775598523.174000
184 225 1775598523.191000
190 223 1775598523.208000
195 223 1775598523.224000
201 227 1775598523.241000
208 234 1775598523.257000
212 244 1775598523.275000
213 249 1775598523.291000
212 253 1775598523.308000
210 257 1775598523.324000
206 260 1775598523.340000
199 262 1775598523.358000
192 263 1775598523.375000
184 262 1775598523.391000
174 259 1775598523.407000
166 254 1775598523.424000
164 252 1775598523.441000

STROKE 4
181 263 1775598523.803000
181 263 1775598523.906000
182 263 1775598523.922000
187 264 1775598523.939000
202 267 1775598523.956000
212 273 1775598523.972000
219 280 1775598523.989000
222 287 1775598524.006000
223 296 1775598524.022000
221 304 1775598524.040000
215 312 1775598524.056000
206 318 1775598524.074000
198 319 1775598524.089000
189 318 1775598524.105000
178 312 1775598524.123000
169 302 1775598524.141000
166 294 1775598524.155000
167 287 1775598524.172000
171 277 1775598524.189000
178 270 1775598524.205000
187 266 1775598524.223000

STROKE 5
239 223 1775598524.770000
239 224 1775598524.937000
239 225 1775598524.953000
238 227 1775598524.970000
238 228 1775598524.987000
237 228 1775598525.003000
236 229 1775598525.020000
236 229 1775598525.036000
236 229 1775598525.120000
237 229 1775598525.136000
237 229 1775598525.153000
237 229 1775598525.170000
238 229 1775598525.219000
238 229 1775598525.236000
239 229 1775598525.253000
239 229 1775598525.269000
240 229 1775598525.286000
240 229 1775598525.303000

STROKE 6
235 263 1775598527.254000
235 263 1775598527.397000
236 263 1775598527.414000
237 262 1775598527.431000
238 262 1775598527.448000
239 262 1775598527.464000
240 262 1775598527.481000
241 262 1775598527.498000
240 262 1775598527.547000
240 262 1775598527.564000
239 262 1775598527.580000
239 262 1775598527.597000
238 262 1775598527.614000
238 262 1775598527.630000
238 262 1775598527.647000
237 262 1775598527.930000
237 262 1775598527.946000
236 262 1775598527.963000
235 262 1775598527.979000
234 262 1775598527.997000
234 262 1775598528.013000
235 262 1775598528.229000
235 262 1775598528.246000
235 262 1775598528.263000
236 262 1775598528.379000
236 262 1775598528.396000
236 262 1775598528.412000
237 262 1775598528.428000
238 262 1775598528.445000
238 262 1775598528.461000
238 262 1775598528.478000

