STROKE 1
138 227 1775594495.244000
137 227 1775594495.362000
135 231 1775594495.379000
132 238 1775594495.395000
131 244 1775594495.411000
132 249 1775594495.430000
136 255 1775594495.444000
145 260 1775594495.461000
154 261 1775594495.478000
162 261 1775594495.495000
170 260 1775594495.512000
177 258 1775594495.528000
179 257 1775594495.544000
180 254 1775594495.561000
179 251 1775594495.578000
177 244 1775594495.595000
174 238 1775594495.611000
172 236 1775594495.628000
171 236 1775594495.644000
171 236 1775594495.658000

STROKE 2
167 208 1775594495.938000
167 208 1775594496.010000
166 207 1775594496.027000
166 202 1775594496.043000
166 194 1775594496.060000
168 182 1775594496.076000
173 173 1775594496.093000
179 167 1775594496.110000
183 167 1775594496.127000
188 171 1775594496.143000
192 180 1775594496.161000
195 196 1775594496.176000
196 213 1775594496.198000
195 223 1775594496.210000
195 236 1775594496.228000
195 244 1775594496.243000
195 251 1775594496.262000
196 254 1775594496.276000
196 259 1775594496.293000
197 263 1775594496.307000

STROKE 3
208 287 1775594496.628000
207 288 1775594496.825000
207 288 1775594496.841000
206 289 1775594496.858000
206 289 1775594496.874000
206 289 1775594496.891000
206 290 1775594496.974000
207 290 1775594496.991000
206 290 1775594497.058000
206 289 1775594497.075000

