STROKE 1
85 208 1776435928.644000
84 209 1776435928.751000
81 210 1776435928.767000
73 217 1776435928.784000
67 227 1776435928.800000
65 237 1776435928.817000
65 245 1776435928.834000
70 253 1776435928.850000
80 260 1776435928.867000
89 262 1776435928.883000
99 263 1776435928.900000
109 262 1776435928.917000
121 260 1776435928.934000
129 255 1776435928.950000
135 248 1776435928.967000
139 240 1776435928.983000
141 232 1776435929.000000
140 223 1776435929.017000
138 217 1776435929.033000
135 214 1776435929.050000
132 212 1776435929.066000
130 212 1776435929.079000

STROKE 2
183 210 1776435929.417000
184 210 1776435929.532000
186 209 1776435929.549000
192 210 1776435929.565000
200 213 1776435929.582000
206 220 1776435929.599000
211 233 1776435929.616000
211 242 1776435929.632000
209 251 1776435929.648000
205 258 1776435929.665000
201 263 1776435929.682000
195 266 1776435929.699000
185 268 1776435929.715000
176 268 1776435929.731000
164 266 1776435929.748000
153 264 1776435929.765000
142 261 1776435929.782000
138 260 1776435929.798000
137 259 1776435929.814000
136 259 1776435929.828000

STROKE 3
184 269 1776435930.535000
184 271 1776435930.646000
183 277 1776435930.663000
182 291 1776435930.679000
180 313 1776435930.696000
179 326 1776435930.713000
179 334 1776435930.729000
179 339 1776435930.746000
179 342 1776435930.763000
179 344 1776435930.779000
179 345 1776435930.796000
179 346 1776435930.812000
182 347 1776435930.829000
190 349 1776435930.846000
199 350 1776435930.862000
210 351 1776435930.879000
220 351 1776435930.895000
227 352 1776435930.909000

