STROKE 1
106 224 1776489943.891000
106 224 1776489943.993000
103 225 1776489944.009000
94 227 1776489944.026000
80 235 1776489944.043000
66 244 1776489944.059000
59 251 1776489944.076000
55 257 1776489944.092000
55 261 1776489944.109000
57 267 1776489944.126000
66 275 1776489944.143000
74 277 1776489944.159000
82 277 1776489944.176000
91 276 1776489944.192000
97 273 1776489944.209000
102 271 1776489944.226000
104 269 1776489944.242000
104 268 1776489944.259000
103 267 1776489944.275000
98 265 1776489944.292000
90 264 1776489944.309000
79 263 1776489944.325000
72 264 1776489944.342000
67 266 1776489944.359000
64 268 1776489944.375000

STROKE 2
142 255 1776489947.426000
142 255 1776489947.568000
140 257 1776489947.584000
138 262 1776489947.601000
138 267 1776489947.618000
140 276 1776489947.634000
145 281 1776489947.651000
151 283 1776489947.667000
157 284 1776489947.684000
167 282 1776489947.701000
176 278 1776489947.717000
183 274 1776489947.734000
188 270 1776489947.750000
192 267 1776489947.768000
193 265 1776489947.783000
193 263 1776489947.800000
192 258 1776489947.817000
187 250 1776489947.833000
177 239 1776489947.850000
169 235 1776489947.867000
162 235 1776489947.883000
154 237 1776489947.900000
143 245 1776489947.917000
138 251 1776489947.933000
136 254 1776489947.950000
135 256 1776489947.967000
135 259 1776489947.983000
135 259 1776489947.991000

STROKE 3
189 263 1776489948.414000
189 262 1776489948.515000
192 257 1776489948.532000
198 250 1776489948.549000
206 241 1776489948.565000
214 236 1776489948.582000
220 232 1776489948.599000
224 232 1776489948.615000
229 234 1776489948.631000
236 240 1776489948.648000
241 246 1776489948.665000
244 253 1776489948.682000
245 255 1776489948.698000
246 257 1776489948.715000
245 260 1776489948.731000
244 264 1776489948.748000
240 272 1776489948.764000
234 276 1776489948.781000
228 279 1776489948.798000
221 281 1776489948.814000
213 280 1776489948.831000
202 277 1776489948.848000
198 275 1776489948.864000
196 273 1776489948.881000
195 272 1776489948.898000
195 271 1776489948.914000
195 270 1776489948.931000

STROKE 4
245 264 1776489949.379000
246 263 1776489949.480000
249 261 1776489949.496000
259 253 1776489949.513000
268 248 1776489949.529000
275 246 1776489949.546000
281 245 1776489949.563000
287 247 1776489949.579000
294 251 1776489949.596000
297 255 1776489949.612000
299 257 1776489949.629000
300 261 1776489949.646000
300 265 1776489949.663000
299 273 1776489949.679000
297 279 1776489949.696000
295 283 1776489949.712000
293 286 1776489949.729000

