STROKE 1
57 230 1776489407.746000
57 231 1776489407.869000
54 236 1776489407.885000
50 243 1776489407.902000
47 252 1776489407.923000
47 262 1776489407.950000
53 272 1776489407.967000
62 278 1776489407.983000
70 282 1776489408.000000
79 283 1776489408.016000
87 283 1776489408.032000
98 281 1776489408.050000
104 277 1776489408.066000
107 274 1776489408.082000
109 271 1776489408.099000
110 268 1776489408.116000
110 263 1776489408.132000
107 256 1776489408.151000
104 249 1776489408.165000
100 244 1776489408.182000
98 242 1776489408.199000
97 242 1776489408.215000

STROKE 2
135 238 1776489412.206000
135 237 1776489412.322000
136 236 1776489412.339000
137 234 1776489412.356000
138 234 1776489412.372000
140 234 1776489412.389000
144 237 1776489412.405000
149 243 1776489412.422000
154 251 1776489412.439000
156 255 1776489412.455000
157 257 1776489412.472000
157 259 1776489412.488000
157 261 1776489412.505000
157 264 1776489412.522000
156 266 1776489412.538000
154 270 1776489412.555000
151 273 1776489412.572000
145 277 1776489412.588000
140 279 1776489412.605000
135 280 1776489412.622000
132 281 1776489412.638000
127 281 1776489412.655000
123 280 1776489412.671000
119 279 1776489412.688000
116 278 1776489412.705000
114 277 1776489412.721000
113 276 1776489412.733000

STROKE 3
189 277 1776489415.799000
188 276 1776489415.930000
186 275 1776489415.947000
182 272 1776489415.963000
178 268 1776489415.981000
176 265 1776489415.997000
175 261 1776489416.013000
175 257 1776489416.030000
177 250 1776489416.047000
182 241 1776489416.063000
187 238 1776489416.080000
193 236 1776489416.096000
199 236 1776489416.113000
208 238 1776489416.130000
214 241 1776489416.146000
218 245 1776489416.163000
221 249 1776489416.180000
223 252 1776489416.196000
225 255 1776489416.213000
226 257 1776489416.229000
227 260 1776489416.246000
228 261 1776489416.263000
230 264 1776489416.280000
230 266 1776489416.296000
230 268 1776489416.312000
230 271 1776489416.329000
230 273 1776489416.346000
229 276 1776489416.363000
228 277 1776489416.379000
228 278 1776489416.396000
228 279 1776489416.404000

STROKE 4
224 264 1776489416.806000
224 263 1776489416.928000
225 260 1776489416.944000
228 251 1776489416.962000
232 243 1776489416.978000
236 237 1776489416.994000
239 234 1776489417.011000
243 233 1776489417.028000
248 233 1776489417.044000
254 234 1776489417.061000
261 239 1776489417.078000
267 243 1776489417.094000
271 248 1776489417.111000
272 251 1776489417.127000
273 253 1776489417.144000
274 255 1776489417.161000
274 256 1776489417.177000
274 258 1776489417.194000
274 260 1776489417.210000
273 264 1776489417.227000
272 267 1776489417.244000
269 273 1776489417.261000
267 276 1776489417.277000
266 277 1776489417.294000
265 278 1776489417.310000
264 279 1776489417.323000

STROKE 5
246 224 1776489417.783000
246 224 1776489417.892000
242 220 1776489417.909000
236 214 1776489417.925000
230 203 1776489417.942000
230 196 1776489417.959000
231 189 1776489417.975000
236 182 1776489417.992000
244 178 1776489418.009000
258 176 1776489418.025000
272 179 1776489418.042000
286 185 1776489418.058000

