STROKE 1
112 214 1775593830.384000
114 213 1775593830.469000
119 210 1775593830.486000
127 208 1775593830.502000
135 206 1775593830.519000
145 207 1775593830.536000
151 210 1775593830.552000
155 214 1775593830.569000
157 221 1775593830.585000
157 234 1775593830.602000
154 243 1775593830.619000
151 249 1775593830.635000
147 253 1775593830.652000
142 255 1775593830.669000
135 256 1775593830.685000
128 255 1775593830.701000
119 252 1775593830.718000
112 246 1775593830.735000
107 239 1775593830.752000
105 231 1775593830.768000
105 227 1775593830.785000
105 223 1775593830.802000
106 220 1775593830.818000
109 216 1775593830.835000
111 214 1775593830.852000
113 214 1775593830.866000

STROKE 2
150 231 1775593831.193000
150 231 1775593831.283000
151 230 1775593831.300000
156 226 1775593831.317000
163 221 1775593831.334000
175 215 1775593831.350000
182 213 1775593831.367000
189 213 1775593831.383000
196 217 1775593831.400000
206 226 1775593831.417000
209 235 1775593831.433000
210 241 1775593831.450000
210 245 1775593831.466000
208 251 1775593831.483000
206 253 1775593831.500000
201 256 1775593831.516000
196 258 1775593831.533000
190 259 1775593831.551000

STROKE 3
192 217 1775593837.680000
191 217 1775593837.785000
189 216 1775593837.802000
184 213 1775593837.818000
177 206 1775593837.835000
170 197 1775593837.851000
165 185 1775593837.868000
164 176 1775593837.884000
165 167 1775593837.901000
168 158 1775593837.918000
174 150 1775593837.935000
180 145 1775593837.951000
186 143 1775593837.967000
193 142 1775593837.984000
201 143 1775593838.001000
212 147 1775593838.017000
219 152 1775593838.034000
224 158 1775593838.051000
228 165 1775593838.067000
231 174 1775593838.084000
231 181 1775593838.101000
231 187 1775593838.117000
230 193 1775593838.133000
227 198 1775593838.151000
220 205 1775593838.167000
213 209 1775593838.184000
206 211 1775593838.200000
200 212 1775593838.217000
195 213 1775593838.233000
194 214 1775593838.249000

STROKE 4
170 192 1775593838.658000
171 192 1775593838.782000
172 191 1775593838.799000
179 189 1775593838.816000
188 188 1775593838.832000
198 188 1775593838.849000
209 191 1775593838.865000
218 195 1775593838.882000
221 198 1775593838.899000
223 199 1775593838.916000
223 200 1775593838.924000

STROKE 5
232 218 1775593839.419000
232 219 1775593839.630000
232 219 1775593839.647000
231 220 1775593839.664000
231 220 1775593839.680000
231 220 1775593839.697000
230 220 1775593839.713000
231 221 1775593839.763000
231 221 1775593839.781000
232 222 1775593839.796000
232 222 1775593839.814000
233 222 1775593839.830000
233 223 1775593839.847000

STROKE 6
234 253 1775593840.146000
234 253 1775593840.379000
233 253 1775593840.396000
233 253 1775593840.412000
232 253 1775593840.428000
232 253 1775593840.445000
231 253 1775593840.462000
231 253 1775593840.479000

