STROKE 1
85 181 1775318654.805000
86 180 1775318654.897000
88 178 1775318654.914000
95 175 1775318654.932000
102 174 1775318654.949000
109 174 1775318654.964000
116 177 1775318654.981000
121 182 1775318654.997000
124 188 1775318655.014000
124 191 1775318655.030000
123 195 1775318655.048000
121 198 1775318655.064000
115 199 1775318655.081000
108 196 1775318655.097000
99 191 1775318655.113000
92 183 1775318655.130000
89 175 1775318655.147000
87 166 1775318655.163000
87 161 1775318655.180000
89 153 1775318655.197000
94 147 1775318655.213000
102 141 1775318655.230000
108 139 1775318655.247000
114 139 1775318655.263000
122 141 1775318655.280000
130 145 1775318655.296000
133 147 1775318655.304000

STROKE 2
162 150 1775318655.758000
163 148 1775318655.845000
166 146 1775318655.862000
171 145 1775318655.878000
177 144 1775318655.895000
187 147 1775318655.912000
192 151 1775318655.928000
195 157 1775318655.945000
196 166 1775318655.962000
194 175 1775318655.978000
188 184 1775318655.995000
181 193 1775318656.011000
173 198 1775318656.028000
161 202 1775318656.045000
153 203 1775318656.061000
146 202 1775318656.078000
141 201 1775318656.094000
138 199 1775318656.111000
137 196 1775318656.128000
138 192 1775318656.144000
143 187 1775318656.161000
149 183 1775318656.178000
158 180 1775318656.194000
165 180 1775318656.211000
170 182 1775318656.227000
175 183 1775318656.244000
178 184 1775318656.262000

STROKE 3
225 151 1775318656.771000
225 151 1775318656.876000
224 154 1775318656.893000
224 164 1775318656.909000
222 189 1775318656.926000
220 211 1775318656.942000
217 231 1775318656.959000
214 243 1775318656.976000
210 251 1775318656.993000
208 254 1775318657.009000
206 256 1775318657.026000
205 257 1775318657.042000
204 257 1775318657.060000
202 258 1775318657.075000
200 258 1775318657.092000
197 260 1775318657.109000
193 260 1775318657.125000
187 261 1775318657.142000
184 261 1775318657.159000
182 261 1775318657.175000
179 261 1775318657.192000
176 260 1775318657.209000
173 259 1775318657.225000
169 256 1775318657.242000
165 248 1775318657.258000
164 237 1775318657.275000
166 223 1775318657.292000
171 205 1775318657.308000
174 199 1775318657.325000
175 196 1775318657.339000

STROKE 4
231 156 1775318657.663000
232 156 1775318657.740000
234 153 1775318657.757000
241 150 1775318657.774000
250 148 1775318657.790000
263 149 1775318657.807000
272 153 1775318657.823000
279 159 1775318657.840000
284 166 1775318657.857000
285 173 1775318657.874000
284 179 1775318657.890000
280 187 1775318657.907000
271 195 1775318657.923000
260 201 1775318657.940000
251 205 1775318657.957000

