STROKE 1
53 233 1775217607.204000
53 232 1775217607.302000
54 232 1775217607.319000
56 230 1775217607.335000
61 226 1775217607.352000
65 225 1775217607.368000
68 224 1775217607.385000
70 224 1775217607.402000
74 225 1775217607.419000
76 226 1775217607.435000
79 229 1775217607.452000
81 233 1775217607.468000
82 237 1775217607.486000
82 240 1775217607.502000
81 242 1775217607.518000
80 243 1775217607.535000
77 244 1775217607.551000
71 244 1775217607.568000
64 241 1775217607.585000
58 237 1775217607.601000
53 231 1775217607.618000
50 225 1775217607.635000
50 221 1775217607.651000
50 217 1775217607.668000
52 211 1775217607.684000
56 205 1775217607.701000
63 199 1775217607.718000
66 196 1775217607.734000
70 196 1775217607.751000
76 196 1775217607.768000
78 197 1775217607.775000

STROKE 2
107 212 1775217608.388000
107 212 1775217608.482000
106 212 1775217608.499000
105 214 1775217608.516000
100 220 1775217608.532000
98 228 1775217608.549000
98 236 1775217608.566000
99 243 1775217608.582000
102 250 1775217608.599000
105 252 1775217608.615000
108 253 1775217608.632000
111 254 1775217608.649000
116 253 1775217608.665000
124 247 1775217608.682000
129 240 1775217608.699000
132 232 1775217608.715000
133 226 1775217608.732000
134 220 1775217608.749000
133 216 1775217608.765000
133 213 1775217608.782000
131 210 1775217608.798000
127 206 1775217608.815000
120 205 1775217608.831000
113 205 1775217608.848000
106 208 1775217608.865000
101 211 1775217608.882000
97 216 1775217608.899000

STROKE 3
136 225 1775217609.372000
136 224 1775217609.463000
138 222 1775217609.480000
143 220 1775217609.496000
150 217 1775217609.513000
158 215 1775217609.530000
163 214 1775217609.547000
168 214 1775217609.563000
171 216 1775217609.580000
174 220 1775217609.597000
177 227 1775217609.613000
178 237 1775217609.630000
177 244 1775217609.646000
174 249 1775217609.663000
171 253 1775217609.680000
167 255 1775217609.697000
165 256 1775217609.713000
164 256 1775217609.724000

STROKE 4
174 242 1775217610.031000
175 240 1775217610.112000
178 236 1775217610.129000
188 226 1775217610.146000
196 221 1775217610.162000
203 217 1775217610.178000
208 215 1775217610.195000
212 215 1775217610.212000
215 216 1775217610.228000
219 219 1775217610.245000
222 224 1775217610.262000
225 232 1775217610.278000
226 242 1775217610.295000
225 247 1775217610.311000
223 251 1775217610.328000
221 254 1775217610.345000
220 254 1775217610.352000

STROKE 5
277 258 1775217613.854000
276 258 1775217614.053000
274 258 1775217614.069000
269 258 1775217614.086000
260 258 1775217614.102000
250 257 1775217614.119000
240 253 1775217614.136000
236 249 1775217614.152000
234 244 1775217614.169000
233 240 1775217614.186000
234 233 1775217614.202000
236 228 1775217614.219000
238 224 1775217614.235000
240 222 1775217614.252000
244 220 1775217614.269000
249 219 1775217614.285000
253 218 1775217614.302000
257 219 1775217614.318000
260 219 1775217614.335000
263 220 1775217614.352000
264 221 1775217614.368000
265 222 1775217614.385000
266 223 1775217614.402000
266 224 1775217614.418000
267 225 1775217614.435000
267 226 1775217614.451000
266 227 1775217614.468000
264 228 1775217614.485000
260 229 1775217614.501000
257 229 1775217614.518000
254 227 1775217614.535000
250 225 1775217614.551000
245 218 1775217614.568000
243 212 1775217614.584000
241 206 1775217614.601000
241 201 1775217614.618000
244 194 1775217614.635000
253 187 1775217614.651000
261 183 1775217614.668000
268 182 1775217614.684000
274 182 1775217614.701000
277 182 1775217614.709000

STROKE 6
294 231 1775217615.564000
295 231 1775217615.718000
296 231 1775217615.734000
299 232 1775217615.765000
300 234 1775217615.782000
300 235 1775217615.799000
301 235 1775217615.815000
301 235 1775217615.865000
300 235 1775217615.882000
299 235 1775217615.898000
299 235 1775217615.915000
298 234 1775217615.931000
298 233 1775217615.948000
298 233 1775217615.964000
299 232 1775217615.981000
299 231 1775217615.998000
300 231 1775217616.014000
300 231 1775217616.031000
301 231 1775217616.048000
301 231 1775217616.064000
301 231 1775217616.114000
300 231 1775217616.131000
300 230 1775217616.147000
300 230 1775217616.164000
300 229 1775217616.181000
300 229 1775217616.198000

STROKE 7
294 263 1775217618.122000
294 263 1775217618.243000
296 264 1775217618.259000
299 265 1775217618.276000
302 266 1775217618.292000
304 267 1775217618.309000
305 267 1775217618.325000
306 268 1775217618.342000
306 268 1775217618.409000
305 267 1775217618.425000
304 267 1775217618.442000
304 267 1775217618.459000
303 266 1775217618.475000
303 266 1775217618.492000
303 266 1775217618.517000
303 265 1775217618.528000
304 265 1775217618.542000
305 265 1775217618.558000
306 266 1775217618.575000
307 266 1775217618.591000
308 266 1775217618.608000
308 266 1775217618.625000
308 266 1775217618.758000
309 266 1775217618.775000
310 265 1775217618.791000
310 265 1775217618.808000
311 265 1775217618.824000
311 265 1775217618.841000
311 265 1775217618.857000
311 265 1775217618.874000
309 264 1775217618.891000
305 263 1775217618.907000
301 262 1775217618.924000
301 262 1775217618.935000

