STROKE 1
111 212 1776485616.339000
110 212 1776485616.461000
109 214 1776485616.477000
106 222 1776485616.494000
104 230 1776485616.511000
104 239 1776485616.527000
106 248 1776485616.544000
110 255 1776485616.561000
117 260 1776485616.577000
124 261 1776485616.593000
131 262 1776485616.610000
137 262 1776485616.627000
143 262 1776485616.644000
152 259 1776485616.660000
158 254 1776485616.677000
163 247 1776485616.693000
166 237 1776485616.711000
166 232 1776485616.726000
166 227 1776485616.743000
165 223 1776485616.760000
163 220 1776485616.776000
160 216 1776485616.793000
157 215 1776485616.810000
154 214 1776485616.826000

STROKE 2
138 264 1776485617.250000
138 265 1776485617.375000
138 268 1776485617.391000
138 284 1776485617.408000
138 303 1776485617.425000
137 320 1776485617.441000
137 334 1776485617.458000
136 344 1776485617.475000
135 353 1776485617.491000
135 357 1776485617.508000
135 359 1776485617.524000
135 360 1776485617.541000
135 361 1776485617.558000
135 362 1776485617.574000
137 363 1776485617.591000
140 363 1776485617.608000
147 362 1776485617.625000
158 361 1776485617.641000
164 360 1776485617.658000
166 360 1776485617.667000

STROKE 3
192 218 1776485618.153000
192 218 1776485618.273000
194 217 1776485618.290000
198 216 1776485618.306000
204 215 1776485618.323000
208 215 1776485618.339000
210 216 1776485618.356000
212 217 1776485618.373000
214 218 1776485618.389000
213 220 1776485618.406000
212 223 1776485618.423000
210 226 1776485618.439000
206 229 1776485618.456000
203 230 1776485618.472000
201 232 1776485618.489000
198 232 1776485618.506000
196 233 1776485618.522000
195 233 1776485618.539000
194 233 1776485618.555000
193 233 1776485618.572000
193 233 1776485618.589000
193 233 1776485618.612000
194 234 1776485618.622000
198 237 1776485618.639000
204 243 1776485618.655000
210 249 1776485618.672000
214 253 1776485618.689000
216 256 1776485618.705000
217 258 1776485618.722000
217 259 1776485618.738000
217 260 1776485618.755000
216 261 1776485618.772000
210 263 1776485618.788000
203 264 1776485618.805000
194 264 1776485618.821000
188 264 1776485618.838000
184 264 1776485618.855000

STROKE 4
207 209 1776485619.203000
207 208 1776485619.270000
205 207 1776485619.287000
197 203 1776485619.303000
190 198 1776485619.320000
184 191 1776485619.337000
182 185 1776485619.353000
188 172 1776485619.370000
200 162 1776485619.387000
213 157 1776485619.403000
226 156 1776485619.420000
243 159 1776485619.437000
264 170 1776485619.453000

