STROKE 1
87 212 1775316130.852000
88 211 1775316130.944000
92 208 1775316130.961000
98 205 1775316130.976000
106 203 1775316130.993000
111 203 1775316131.009000
117 204 1775316131.026000
119 205 1775316131.042000
120 206 1775316131.058000
119 210 1775316131.074000
115 215 1775316131.091000
109 220 1775316131.108000
101 222 1775316131.125000
95 221 1775316131.141000
89 217 1775316131.158000
82 210 1775316131.175000
80 203 1775316131.191000
81 194 1775316131.208000
85 183 1775316131.224000
92 174 1775316131.241000
102 167 1775316131.258000
110 166 1775316131.274000
118 166 1775316131.291000
121 166 1775316131.300000

STROKE 2
173 164 1775316131.858000
172 165 1775316131.973000
169 170 1775316131.990000
165 182 1775316132.006000
162 192 1775316132.023000
162 199 1775316132.040000
163 205 1775316132.056000
166 211 1775316132.073000
170 214 1775316132.089000
176 214 1775316132.106000
186 212 1775316132.123000
201 207 1775316132.139000
210 201 1775316132.156000
216 196 1775316132.173000
220 192 1775316132.189000
222 187 1775316132.206000
222 185 1775316132.222000
222 183 1775316132.239000
220 179 1775316132.256000
217 177 1775316132.272000
212 176 1775316132.289000
206 178 1775316132.305000
199 182 1775316132.322000
194 187 1775316132.339000
191 193 1775316132.356000
190 196 1775316132.372000
191 200 1775316132.389000

STROKE 3
203 208 1775316132.819000
203 208 1775316132.904000
203 210 1775316132.921000
203 217 1775316132.937000
201 233 1775316132.954000
198 244 1775316132.971000
195 252 1775316132.987000
191 257 1775316133.004000
186 261 1775316133.021000
181 262 1775316133.037000
176 263 1775316133.054000
171 262 1775316133.070000
166 262 1775316133.087000
162 261 1775316133.104000
160 260 1775316133.120000
158 260 1775316133.137000
157 260 1775316133.154000
156 259 1775316133.170000
154 257 1775316133.187000
151 251 1775316133.203000
147 238 1775316133.220000
145 222 1775316133.237000
146 196 1775316133.253000
149 176 1775316133.270000
155 158 1775316133.287000
162 144 1775316133.303000
170 131 1775316133.320000
173 126 1775316133.336000
175 123 1775316133.353000
176 121 1775316133.370000
177 120 1775316133.387000
177 119 1775316133.403000
179 118 1775316133.419000
182 117 1775316133.436000
195 117 1775316133.454000
207 118 1775316133.470000

