STROKE 1
66 217 1776484453.360000
65 217 1776484453.466000
64 216 1776484453.483000
62 216 1776484453.499000
60 217 1776484453.516000
57 220 1776484453.533000
54 227 1776484453.550000
55 236 1776484453.566000
58 247 1776484453.583000
62 255 1776484453.599000
68 261 1776484453.616000
77 267 1776484453.633000
84 270 1776484453.649000
91 271 1776484453.666000
98 270 1776484453.682000
108 268 1776484453.699000
113 265 1776484453.716000
117 261 1776484453.732000
119 254 1776484453.749000
120 246 1776484453.766000
119 236 1776484453.782000
116 229 1776484453.799000
114 225 1776484453.815000
111 223 1776484453.832000
108 223 1776484453.849000

STROKE 2
146 223 1776484454.290000
146 224 1776484454.414000
145 229 1776484454.431000
144 243 1776484454.447000
142 265 1776484454.464000
141 293 1776484454.481000
140 308 1776484454.497000
140 318 1776484454.514000
140 324 1776484454.530000
140 329 1776484454.547000
140 331 1776484454.564000
140 333 1776484454.580000
139 334 1776484454.597000
138 335 1776484454.614000
137 336 1776484454.630000
135 337 1776484454.647000
131 339 1776484454.663000
125 339 1776484454.680000
119 340 1776484454.697000
110 339 1776484454.713000
105 337 1776484454.730000
102 336 1776484454.746000
99 335 1776484454.763000
97 330 1776484454.780000
95 325 1776484454.796000
96 316 1776484454.813000
98 303 1776484454.830000
103 286 1776484454.846000
105 278 1776484454.863000
105 275 1776484454.880000
106 273 1776484454.888000

STROKE 3
165 227 1776484455.384000
165 227 1776484455.478000
165 230 1776484455.495000
163 240 1776484455.511000
162 266 1776484455.528000
161 287 1776484455.544000
161 306 1776484455.561000
161 320 1776484455.578000
161 330 1776484455.594000
161 339 1776484455.611000
161 342 1776484455.628000
161 345 1776484455.644000
161 346 1776484455.661000
161 346 1776484455.674000

STROKE 4
184 225 1776484455.910000
184 226 1776484456.044000
183 243 1776484456.060000
182 275 1776484456.077000
181 295 1776484456.093000
180 310 1776484456.110000
180 321 1776484456.127000
180 333 1776484456.143000
180 338 1776484456.160000
180 342 1776484456.176000
180 344 1776484456.193000
180 345 1776484456.210000
180 346 1776484456.226000
181 347 1776484456.243000
184 348 1776484456.260000
193 348 1776484456.276000
211 346 1776484456.293000
222 345 1776484456.309000
226 344 1776484456.324000

