STROKE 1
50 284 1776267302.537000
47 282 1776267302.713000
40 270 1776267302.730000
36 259 1776267302.746000
35 250 1776267302.763000
38 238 1776267302.780000
42 230 1776267302.796000
46 225 1776267302.813000
52 223 1776267302.829000
61 220 1776267302.847000
69 220 1776267302.863000
78 221 1776267302.879000
85 223 1776267302.896000
91 226 1776267302.912000
96 233 1776267302.929000
99 240 1776267302.946000
100 246 1776267302.962000
100 251 1776267302.979000
100 254 1776267302.996000
100 258 1776267303.012000
99 261 1776267303.029000
97 266 1776267303.046000
96 270 1776267303.062000
95 272 1776267303.079000
94 274 1776267303.095000
93 275 1776267303.112000
93 275 1776267303.129000
92 276 1776267303.146000
92 276 1776267303.162000

STROKE 2
100 260 1776267303.488000
100 260 1776267303.579000
101 255 1776267303.594000
105 243 1776267303.611000
109 235 1776267303.628000
115 229 1776267303.644000
122 226 1776267303.661000
132 225 1776267303.677000
141 226 1776267303.694000
151 229 1776267303.711000
159 235 1776267303.727000
166 243 1776267303.744000
169 248 1776267303.761000
170 251 1776267303.777000
170 254 1776267303.794000
171 255 1776267303.811000
171 256 1776267303.827000
170 259 1776267303.844000
167 262 1776267303.860000
163 267 1776267303.877000
155 273 1776267303.894000
151 276 1776267303.910000
149 277 1776267303.927000
147 278 1776267303.944000
147 278 1776267303.951000

STROKE 3
185 234 1776267304.354000
185 237 1776267304.492000
186 249 1776267304.509000
187 267 1776267304.526000
187 284 1776267304.542000
186 304 1776267304.559000
185 315 1776267304.575000
185 325 1776267304.592000
184 332 1776267304.609000
184 339 1776267304.626000
184 343 1776267304.642000
184 347 1776267304.658000
184 349 1776267304.675000
184 351 1776267304.692000
184 352 1776267304.708000
184 354 1776267304.725000
184 355 1776267304.741000
184 356 1776267304.758000
183 356 1776267304.775000
183 357 1776267304.791000
182 358 1776267304.808000
179 358 1776267304.825000
175 359 1776267304.841000
169 360 1776267304.858000
165 360 1776267304.874000
162 360 1776267304.891000
160 360 1776267304.908000
158 360 1776267304.925000
156 360 1776267304.941000
153 359 1776267304.958000
151 358 1776267304.974000
148 356 1776267304.991000
145 352 1776267305.007000
143 347 1776267305.024000
142 340 1776267305.041000
141 331 1776267305.058000
141 319 1776267305.074000
141 309 1776267305.091000
141 302 1776267305.107000
141 296 1776267305.124000
141 290 1776267305.141000
141 287 1776267305.157000
141 286 1776267305.174000
141 284 1776267305.190000
141 283 1776267305.199000

STROKE 4
135 295 1776267305.622000
135 296 1776267305.739000
136 300 1776267305.756000
136 309 1776267305.772000
137 320 1776267305.789000
136 336 1776267305.806000
133 348 1776267305.822000
130 357 1776267305.839000
127 364 1776267305.856000
123 368 1776267305.872000
118 373 1776267305.889000
113 376 1776267305.905000
108 377 1776267305.922000
104 377 1776267305.939000
99 376 1776267305.956000
95 374 1776267305.972000
90 369 1776267305.988000
86 362 1776267306.005000
82 350 1776267306.022000
82 340 1776267306.038000
84 330 1776267306.055000
87 320 1776267306.072000
91 312 1776267306.088000
98 304 1776267306.105000
104 300 1776267306.121000
110 297 1776267306.138000
115 296 1776267306.155000
120 295 1776267306.172000
125 294 1776267306.188000
129 295 1776267306.205000
132 296 1776267306.221000
135 296 1776267306.239000
136 297 1776267306.255000

STROKE 5
237 230 1776267306.848000
237 229 1776267307.003000
236 229 1776267307.020000
234 228 1776267307.036000
230 227 1776267307.053000
226 227 1776267307.069000
224 227 1776267307.086000
222 228 1776267307.103000
221 229 1776267307.119000
220 229 1776267307.136000
221 230 1776267307.153000
222 234 1776267307.169000
226 240 1776267307.186000
231 248 1776267307.203000
237 254 1776267307.219000
240 257 1776267307.236000
242 259 1776267307.252000
244 260 1776267307.269000
246 261 1776267307.286000
247 262 1776267307.302000
249 263 1776267307.319000
249 264 1776267307.335000
249 264 1776267307.352000
249 266 1776267307.369000
246 269 1776267307.385000
240 273 1776267307.402000
234 277 1776267307.418000
225 279 1776267307.435000
221 279 1776267307.452000
217 278 1776267307.468000
213 277 1776267307.485000
207 273 1776267307.502000
206 271 1776267307.518000
204 270 1776267307.535000
204 269 1776267307.551000
