STROKE 1
82 227 1776483035.391000
82 227 1776483035.486000
79 227 1776483035.503000
71 227 1776483035.520000
58 229 1776483035.537000
46 235 1776483035.553000
34 245 1776483035.570000
30 252 1776483035.586000
28 257 1776483035.603000
27 262 1776483035.620000
28 268 1776483035.636000
32 278 1776483035.653000
36 283 1776483035.669000
42 286 1776483035.686000
47 288 1776483035.703000
51 289 1776483035.719000
58 288 1776483035.736000
63 285 1776483035.753000
68 281 1776483035.769000
72 277 1776483035.786000
73 273 1776483035.803000
74 271 1776483035.819000
73 269 1776483035.836000
72 267 1776483035.852000
67 266 1776483035.869000
60 264 1776483035.886000
54 264 1776483035.902000
49 264 1776483035.919000
46 265 1776483035.935000
41 268 1776483035.953000
40 270 1776483035.969000

STROKE 2
113 228 1776483036.624000
112 229 1776483036.734000
109 234 1776483036.750000
105 241 1776483036.767000
101 251 1776483036.784000
99 257 1776483036.800000
99 264 1776483036.817000
100 271 1776483036.833000
102 279 1776483036.850000
107 286 1776483036.867000
111 289 1776483036.883000
116 291 1776483036.900000
121 291 1776483036.916000
129 289 1776483036.933000
140 284 1776483036.950000
147 280 1776483036.967000
152 275 1776483036.983000
156 271 1776483037.000000
158 268 1776483037.016000
160 266 1776483037.033000
161 265 1776483037.050000
162 264 1776483037.066000
162 261 1776483037.084000
161 256 1776483037.100000
158 250 1776483037.116000
156 246 1776483037.133000
154 244 1776483037.149000
153 242 1776483037.166000

STROKE 3
100 270 1776483037.388000
100 270 1776483037.532000
103 268 1776483037.548000
111 266 1776483037.565000
120 265 1776483037.582000
129 265 1776483037.599000
137 266 1776483037.615000
146 270 1776483037.631000
149 272 1776483037.648000
151 273 1776483037.665000

STROKE 4
136 287 1776483038.132000
136 288 1776483038.247000
135 292 1776483038.263000
133 302 1776483038.280000
131 314 1776483038.296000
130 329 1776483038.313000
129 337 1776483038.330000
129 342 1776483038.346000
129 346 1776483038.363000
129 349 1776483038.380000
129 351 1776483038.396000
129 352 1776483038.413000
129 353 1776483038.429000
129 353 1776483038.446000
130 354 1776483038.463000
133 355 1776483038.479000
138 356 1776483038.496000
146 357 1776483038.512000
153 357 1776483038.530000
161 357 1776483038.546000
164 356 1776483038.562000
166 356 1776483038.579000
167 356 1776483038.596000
169 355 1776483038.613000
170 355 1776483038.629000
171 354 1776483038.646000
172 352 1776483038.662000
174 348 1776483038.680000
176 341 1776483038.695000
179 329 1776483038.712000
182 315 1776483038.729000
186 299 1776483038.745000
190 283 1776483038.763000
192 275 1776483038.779000
193 268 1776483038.795000
193 263 1776483038.812000
194 259 1776483038.829000
194 255 1776483038.845000
195 253 1776483038.862000
195 251 1776483038.878000

STROKE 5
192 262 1776483039.279000
192 260 1776483039.394000
195 255 1776483039.411000
200 247 1776483039.427000
207 240 1776483039.444000
215 236 1776483039.460000
220 236 1776483039.477000
228 240 1776483039.494000
237 248 1776483039.511000
240 252 1776483039.527000
244 259 1776483039.543000
246 263 1776483039.560000
247 267 1776483039.577000
248 270 1776483039.594000
247 275 1776483039.610000
246 280 1776483039.627000
244 284 1776483039.643000
241 289 1776483039.660000
238 292 1776483039.677000
237 293 1776483039.683000

STROKE 6
268 291 1776483040.312000
267 290 1776483040.475000
266 286 1776483040.491000
263 281 1776483040.509000
262 273 1776483040.524000
262 267 1776483040.541000
263 261 1776483040.558000
265 256 1776483040.574000
269 250 1776483040.591000
272 248 1776483040.607000
275 246 1776483040.624000
277 246 1776483040.641000
282 248 1776483040.658000
288 251 1776483040.674000
291 254 1776483040.691000
294 256 1776483040.707000
296 259 1776483040.724000
298 264 1776483040.741000
300 268 1776483040.757000
302 272 1776483040.774000
302 276 1776483040.790000
303 278 1776483040.807000
303 280 1776483040.824000
303 281 1776483040.840000
303 282 1776483040.857000
303 283 1776483040.874000
303 285 1776483040.890000
302 286 1776483040.907000
302 287 1776483040.923000
302 287 1776483040.940000
302 288 1776483040.957000

STROKE 7
299 264 1776483041.253000
300 264 1776483041.406000
301 263 1776483041.423000
305 261 1776483041.439000
311 260 1776483041.456000
317 260 1776483041.472000
324 260 1776483041.490000
329 261 1776483041.506000
332 264 1776483041.522000
335 266 1776483041.539000
337 270 1776483041.555000
338 273 1776483041.572000
339 277 1776483041.589000
340 279 1776483041.605000
340 281 1776483041.622000
339 283 1776483041.639000
339 286 1776483041.655000
338 288 1776483041.672000
337 290 1776483041.688000
337 291 1776483041.705000
337 291 1776483041.713000

STROKE 8
323 261 1776483042.064000
322 261 1776483042.154000
320 259 1776483042.170000
316 252 1776483042.187000
309 237 1776483042.204000
306 227 1776483042.220000
305 218 1776483042.237000
306 211 1776483042.254000
310 202 1776483042.270000
316 198 1776483042.287000
322 197 1776483042.303000
332 199 1776483042.320000
342 204 1776483042.337000
351 213 1776483042.353000

