STROKE 1
152 161 1775153396.855000
151 161 1775153396.950000
147 165 1775153396.967000
140 174 1775153396.983000
136 185 1775153397.001000
133 197 1775153397.017000
134 205 1775153397.033000
137 212 1775153397.050000
142 216 1775153397.067000
151 220 1775153397.083000
159 220 1775153397.100000
170 217 1775153397.116000
180 213 1775153397.133000
188 205 1775153397.150000
192 198 1775153397.166000
193 191 1775153397.183000
192 184 1775153397.199000
189 175 1775153397.216000
182 166 1775153397.233000
175 161 1775153397.249000
168 159 1775153397.266000
162 159 1775153397.283000
149 164 1775153397.299000
139 173 1775153397.316000
133 181 1775153397.332000
130 187 1775153397.347000

STROKE 2
139 167 1775153397.944000
141 168 1775153398.081000
146 173 1775153398.098000
156 182 1775153398.114000
160 189 1775153398.131000
162 195 1775153398.148000
161 201 1775153398.164000
158 210 1775153398.181000
154 216 1775153398.197000
151 219 1775153398.214000

STROKE 3
164 216 1775153398.656000
164 217 1775153398.746000
164 219 1775153398.762000
164 230 1775153398.779000
164 244 1775153398.796000
164 258 1775153398.812000
164 268 1775153398.829000
164 276 1775153398.846000
164 280 1775153398.862000
164 281 1775153398.879000
165 283 1775153398.895000
166 284 1775153398.913000
168 285 1775153398.929000
174 285 1775153398.945000
185 285 1775153398.962000
198 284 1775153398.979000
210 282 1775153398.996000
216 280 1775153399.012000

STROKE 4
154 115 1775153399.643000
154 116 1775153399.843000
155 116 1775153399.860000
155 117 1775153399.877000
155 118 1775153399.893000
155 118 1775153399.910000
155 119 1775153399.928000
155 118 1775153400.026000
156 118 1775153400.043000
156 118 1775153400.060000
157 118 1775153400.076000
157 118 1775153400.093000

