STROKE 1
213 189 1775071750.0843964
214 188 1775071750.160112
215 187 1775071750.1762006
217 186 1775071750.1812263
219 185 1775071750.18809
222 184 1775071750.1971192
224 184 1775071750.203056
227 184 1775071750.2106285
230 184 1775071750.21638
233 184 1775071750.223368
235 185 1775071750.2301834
238 185 1775071750.2370453
240 186 1775071750.244249
242 187 1775071750.25136
243 188 1775071750.2581663
245 189 1775071750.2651572
246 190 1775071750.2715476
246 192 1775071750.2784061
247 193 1775071750.2854047
248 194 1775071750.2923267
248 195 1775071750.2992947
248 196 1775071750.3139224
248 197 1775071750.323443
248 198 1775071750.3419561
248 199 1775071750.350674
247 200 1775071750.3629167
246 201 1775071750.3770435
246 202 1775071750.3911204
245 202 1775071750.4050462
244 202 1775071750.4120522
243 202 1775071750.4189932
240 203 1775071750.42611
238 203 1775071750.4330008
236 203 1775071750.4398303
232 202 1775071750.4467247
229 201 1775071750.4536252
225 199 1775071750.460613
222 198 1775071750.4676075
219 196 1775071750.4747784
215 194 1775071750.4819033
212 192 1775071750.488973
209 190 1775071750.4954133
207 188 1775071750.5021896
205 186 1775071750.509037
203 184 1775071750.5161142
202 183 1775071750.5230439
201 181 1775071750.530058
201 180 1775071750.5369823
201 179 1775071750.544014
201 177 1775071750.5509484
201 176 1775071750.557998
201 174 1775071750.565002
202 173 1775071750.5719995
203 171 1775071750.578989
205 169 1775071750.5859559
208 167 1775071750.5929368
212 164 1775071750.600037
217 162 1775071750.606943
222 161 1775071750.6139445
227 159 1775071750.621112
232 158 1775071750.6283345
236 157 1775071750.6352904
240 157 1775071750.6423395
243 157 1775071750.6493554
246 157 1775071750.6563783
248 158 1775071750.6633277
250 158 1775071750.6703417
251 159 1775071750.6773043
253 160 1775071750.6843147
254 161 1775071750.6984303

STROKE 2
281 190 1775071751.4780452
281 189 1775071751.498268
282 189 1775071751.505123
284 189 1775071751.5121915
285 189 1775071751.5191374
286 189 1775071751.5262034
287 189 1775071751.533166
288 189 1775071751.5400512
289 189 1775071751.547075
290 189 1775071751.5542166
291 189 1775071751.5612795
292 190 1775071751.5751863
293 190 1775071751.5892022
293 191 1775071751.5962324
293 192 1775071751.6177588
294 193 1775071751.6386566
294 194 1775071751.6459017
294 195 1775071751.65971
294 196 1775071751.6667233
293 196 1775071751.6736698
292 197 1775071751.6877928
291 197 1775071751.7019303
289 198 1775071751.7087276
288 198 1775071751.7157857
286 198 1775071751.722903
285 198 1775071751.7295806
283 198 1775071751.7366338
282 197 1775071751.7435622
281 197 1775071751.750749
280 196 1775071751.7575884
279 195 1775071751.764377
278 193 1775071751.778195
278 191 1775071751.7851613
278 189 1775071751.792298
278 186 1775071751.7992313
278 183 1775071751.806317
278 181 1775071751.8131874
278 178 1775071751.8202078
279 176 1775071751.827148
279 174 1775071751.8353627
280 173 1775071751.8430507
281 171 1775071751.8497121
283 170 1775071751.856652
285 168 1775071751.8636308
287 167 1775071751.8702083
290 166 1775071751.8774374
293 165 1775071751.8844557
295 165 1775071751.8914323
298 165 1775071751.8983588
301 165 1775071751.904427
305 166 1775071751.9117708
307 167 1775071751.918693
311 168 1775071751.92563
314 169 1775071751.933986
317 170 1775071751.9412274
319 171 1775071751.9479196
321 172 1775071751.9548109
322 173 1775071751.9608393
324 174 1775071751.9676647
325 176 1775071751.9743757
326 178 1775071751.9809709
327 180 1775071751.989404
328 183 1775071751.9971619
328 187 1775071752.0042536
328 192 1775071752.01161
328 197 1775071752.0186272
328 202 1775071752.0257888
327 208 1775071752.0328503
326 215 1775071752.0399313
325 222 1775071752.0451407
324 228 1775071752.05096
324 234 1775071752.0578742
324 241 1775071752.0651522
324 247 1775071752.0716038
324 253 1775071752.0788808
324 257 1775071752.0858262
324 261 1775071752.0928748
324 264 1775071752.0999062
324 266 1775071752.1067772
325 267 1775071752.113716
325 268 1775071752.1205926
325 267 1775071752.1910799
326 266 1775071752.1981373
327 265 1775071752.2053661
330 264 1775071752.2127872
333 262 1775071752.2201195
337 261 1775071752.2270246
341 260 1775071752.2344239
345 258 1775071752.239985
350 257 1775071752.246645
355 256 1775071752.2535076
360 255 1775071752.2604473
364 254 1775071752.2673929
368 254 1775071752.2743938
372 254 1775071752.281349
375 254 1775071752.2883325
376 254 1775071752.2952998
378 254 1775071752.3023953

STROKE 3
359 164 1775071753.464717
360 164 1775071753.624738
361 164 1775071753.6526687
361 165 1775071753.7225292
361 166 1775071753.777883
360 166 1775071753.84879
359 166 1775071753.876177
358 166 1775071753.8832471
357 166 1775071753.9044838
357 165 1775071753.9184084
356 164 1775071753.953239
356 163 1775071753.9882994
356 162 1775071753.9951477
356 161 1775071754.0021088
357 160 1775071754.0231876
358 160 1775071754.044138
359 160 1775071754.05799
360 160 1775071754.0930448
361 160 1775071754.1417756
362 160 1775071754.20501
363 161 1775071754.2538586
363 162 1775071754.2749898
363 163 1775071754.317808
362 163 1775071754.3243656
362 164 1775071754.3517804
361 164 1775071754.3727555
360 164 1775071754.3871908
359 164 1775071754.4143329

STROKE 4
362 200 1775071755.024151
361 200 1775071755.0648963
362 200 1775071755.3308048
361 200 1775071755.5127501
360 200 1775071755.5615935
359 199 1775071755.6033843
359 198 1775071755.6524131
360 197 1775071755.7363236
361 196 1775071755.7712052
362 196 1775071755.9113076
362 197 1775071756.0508542
362 198 1775071756.0998483
361 198 1775071756.1908088
360 198 1775071756.2257378
359 198 1775071756.2607982
358 197 1775071756.3028448
358 196 1775071756.3797297
358 195 1775071756.4216173
359 195 1775071756.4360456
360 195 1775071756.4499388
361 195 1775071756.4636054
361 194 1775071756.4706469
362 194 1775071756.4847143
363 194 1775071756.5055742
364 194 1775071756.5195975
365 195 1775071756.540447
366 195 1775071756.5614343
367 195 1775071756.5823922
367 196 1775071756.6120703

