STROKE 1
173 256 1775314424.747000
173 256 1775314424.830000
173 256 1775314424.837000
172 256 1775314424.843000
171 256 1775314424.862000
169 257 1775314424.871000
168 257 1775314424.878000
167 258 1775314424.884000
166 259 1775314424.891000
165 260 1775314424.898000
163 261 1775314424.905000
162 262 1775314424.912000
161 263 1775314424.919000
160 265 1775314424.926000
158 268 1775314424.933000
157 270 1775314424.940000
156 273 1775314424.947000
155 276 1775314424.954000
154 278 1775314424.961000
154 281 1775314424.968000
153 282 1775314424.975000
153 284 1775314424.981000
153 285 1775314424.988000
153 286 1775314424.995000
153 288 1775314425.003000
153 289 1775314425.009000
153 290 1775314425.017000
153 292 1775314425.023000
153 294 1775314425.030000
154 295 1775314425.037000
154 297 1775314425.044000
155 299 1775314425.051000
156 301 1775314425.058000
157 303 1775314425.065000
158 305 1775314425.072000
160 307 1775314425.079000
161 309 1775314425.086000
163 310 1775314425.093000
165 312 1775314425.100000
167 313 1775314425.107000
169 315 1775314425.114000
172 316 1775314425.121000
174 317 1775314425.128000
177 318 1775314425.135000
179 319 1775314425.142000
181 320 1775314425.148000
184 320 1775314425.156000
186 321 1775314425.162000
188 321 1775314425.169000
191 321 1775314425.176000
193 321 1775314425.183000
196 321 1775314425.190000
199 320 1775314425.197000
201 320 1775314425.204000
203 319 1775314425.211000
205 318 1775314425.218000
207 317 1775314425.225000
209 315 1775314425.232000
211 314 1775314425.239000
213 312 1775314425.246000
215 310 1775314425.253000
217 307 1775314425.260000
219 305 1775314425.266000
221 301 1775314425.274000
223 298 1775314425.280000
224 295 1775314425.287000
225 291 1775314425.294000
226 288 1775314425.301000
226 284 1775314425.308000
226 281 1775314425.315000
226 279 1775314425.322000
226 277 1775314425.329000
226 275 1775314425.336000
226 274 1775314425.343000
226 272 1775314425.350000
226 271 1775314425.357000
226 270 1775314425.364000
225 268 1775314425.370000
225 267 1775314425.377000
224 266 1775314425.384000
223 265 1775314425.391000
223 264 1775314425.398000
222 263 1775314425.405000
221 262 1775314425.412000
221 261 1775314425.419000
220 260 1775314425.426000
219 259 1775314425.433000
218 259 1775314425.440000
217 258 1775314425.447000
215 257 1775314425.454000
214 256 1775314425.461000
212 255 1775314425.468000
210 254 1775314425.475000
208 254 1775314425.482000
207 253 1775314425.488000
205 253 1775314425.495000
204 252 1775314425.502000
202 252 1775314425.509000
201 252 1775314425.516000
199 252 1775314425.523000
199 252 1775314425.530000
198 252 1775314425.537000
197 252 1775314425.544000
196 252 1775314425.551000
195 252 1775314425.558000
193 252 1775314425.565000
192 252 1775314425.572000
191 252 1775314425.579000
189 252 1775314425.586000
188 252 1775314425.593000
186 252 1775314425.600000
185 252 1775314425.607000
183 252 1775314425.614000
182 252 1775314425.620000
181 252 1775314425.627000
180 252 1775314425.635000
179 252 1775314425.641000
178 252 1775314425.648000
177 252 1775314425.655000
175 252 1775314425.662000
174 253 1775314425.669000
173 253 1775314425.676000
172 253 1775314425.683000
171 254 1775314425.690000
170 254 1775314425.697000
169 254 1775314425.704000
168 255 1775314425.711000
167 255 1775314425.718000
167 255 1775314425.725000
166 255 1775314425.732000
165 255 1775314425.745000
165 255 1775314425.752000
164 255 1775314425.788000
164 255 1775314425.822000

STROKE 2
271 306 1775314427.471000
271 305 1775314427.583000
272 305 1775314427.589000
273 304 1775314427.596000
273 303 1775314427.603000
274 302 1775314427.610000
275 301 1775314427.617000
276 300 1775314427.624000
277 300 1775314427.631000
279 299 1775314427.638000
280 298 1775314427.645000
282 298 1775314427.652000
284 298 1775314427.659000
286 298 1775314427.666000
288 297 1775314427.673000
290 297 1775314427.680000
291 297 1775314427.687000
294 297 1775314427.694000
295 297 1775314427.701000
296 297 1775314427.708000
298 298 1775314427.714000
299 298 1775314427.721000
299 298 1775314427.728000
300 299 1775314427.735000
301 299 1775314427.742000
302 300 1775314427.749000
302 300 1775314427.756000
303 301 1775314427.763000
303 302 1775314427.770000
304 303 1775314427.777000
304 303 1775314427.784000
305 304 1775314427.791000
305 305 1775314427.798000
305 306 1775314427.817000
305 306 1775314427.824000
305 307 1775314427.833000
305 307 1775314427.840000
305 308 1775314427.862000
305 309 1775314427.880000
305 309 1775314427.887000
304 310 1775314427.894000
304 310 1775314427.901000
303 311 1775314427.908000
302 312 1775314427.915000
300 313 1775314427.922000
297 314 1775314427.929000
294 315 1775314427.936000
290 316 1775314427.943000
287 316 1775314427.949000
284 317 1775314427.956000
280 317 1775314427.963000
277 317 1775314427.970000
273 317 1775314427.977000
270 317 1775314427.984000
267 317 1775314427.991000
265 317 1775314427.998000
263 316 1775314428.005000
261 316 1775314428.012000
259 315 1775314428.019000
258 314 1775314428.026000
257 312 1775314428.033000
256 308 1775314428.040000
255 305 1775314428.047000
255 301 1775314428.054000
255 297 1775314428.061000
255 293 1775314428.068000
255 289 1775314428.075000
255 285 1775314428.082000
255 282 1775314428.088000
256 279 1775314428.095000
256 276 1775314428.102000
256 273 1775314428.109000
257 271 1775314428.116000
257 269 1775314428.123000
257 268 1775314428.130000
257 267 1775314428.137000
257 267 1775314428.144000
258 266 1775314428.151000
258 266 1775314428.158000
259 265 1775314428.165000
260 264 1775314428.172000
262 263 1775314428.179000
264 262 1775314428.186000
266 261 1775314428.193000
269 260 1775314428.200000
271 259 1775314428.206000
275 258 1775314428.213000
277 258 1775314428.220000
280 258 1775314428.227000
282 257 1775314428.234000
285 257 1775314428.241000
287 257 1775314428.248000
289 257 1775314428.255000
291 258 1775314428.262000
292 258 1775314428.269000
294 258 1775314428.276000
295 259 1775314428.283000
297 259 1775314428.289000
298 260 1775314428.296000
299 261 1775314428.303000
301 261 1775314428.310000
302 262 1775314428.317000
303 263 1775314428.324000
304 263 1775314428.331000
305 264 1775314428.338000
306 264 1775314428.345000
306 264 1775314428.352000
307 265 1775314428.365000
307 265 1775314428.373000
308 265 1775314428.400000
308 266 1775314428.421000
308 266 1775314428.429000
308 266 1775314428.442000
308 267 1775314428.449000
308 267 1775314428.463000
307 268 1775314428.470000
305 268 1775314428.484000
303 269 1775314428.491000
301 269 1775314428.498000
297 270 1775314428.505000
294 270 1775314428.512000
291 270 1775314428.519000
288 270 1775314428.526000
283 270 1775314428.533000
279 269 1775314428.540000
275 269 1775314428.547000
272 268 1775314428.554000
268 267 1775314428.561000
265 266 1775314428.567000
263 264 1775314428.574000
260 263 1775314428.581000
258 262 1775314428.588000
256 261 1775314428.595000
255 259 1775314428.602000
254 258 1775314428.609000
253 256 1775314428.616000
253 254 1775314428.623000
253 250 1775314428.630000
253 248 1775314428.637000
253 244 1775314428.644000
254 240 1775314428.651000
255 236 1775314428.658000
257 231 1775314428.665000
259 226 1775314428.671000
262 221 1775314428.679000
264 217 1775314428.686000
267 213 1775314428.693000
270 210 1775314428.700000
273 208 1775314428.707000
276 206 1775314428.714000
279 204 1775314428.721000
281 203 1775314428.728000
284 202 1775314428.735000
287 202 1775314428.742000
289 201 1775314428.749000
292 201 1775314428.756000
294 202 1775314428.763000
296 203 1775314428.770000
298 203 1775314428.777000
300 204 1775314428.784000
302 206 1775314428.791000
304 207 1775314428.798000
306 209 1775314428.805000
308 210 1775314428.812000
310 212 1775314428.819000
311 213 1775314428.826000
312 214 1775314428.833000
313 215 1775314428.840000
313 216 1775314428.847000
314 216 1775314428.854000
314 217 1775314428.861000
314 217 1775314428.882000

STROKE 3
336 269 1775314429.561000
336 268 1775314429.582000
336 268 1775314429.588000
336 267 1775314429.610000
336 267 1775314429.637000
336 267 1775314429.722000
336 266 1775314429.728000
336 266 1775314429.761000
336 266 1775314429.931000
336 267 1775314429.966000
336 266 1775314430.057000
335 266 1775314430.078000
335 265 1775314430.099000
335 265 1775314430.105000
334 264 1775314430.127000
334 264 1775314430.176000
334 264 1775314430.211000
335 264 1775314430.217000
335 264 1775314430.239000
335 264 1775314430.245000
336 264 1775314430.267000
336 264 1775314430.288000
336 264 1775314430.350000
337 265 1775314430.357000
337 265 1775314430.385000
337 265 1775314430.406000
336 265 1775314430.477000
336 265 1775314430.518000
336 265 1775314430.539000
336 265 1775314430.567000

STROKE 4
335 300 1775314431.905000
335 300 1775314431.939000
335 301 1775314431.946000
335 301 1775314431.988000
335 301 1775314432.156000
335 301 1775314432.177000
336 300 1775314432.205000
335 300 1775314432.387000
335 300 1775314432.415000
335 299 1775314432.436000
334 299 1775314432.463000
334 299 1775314432.498000
334 298 1775314432.505000
334 298 1775314432.555000
334 298 1775314432.575000
333 297 1775314432.617000

