STROKE 1
204 271 1775597218.897000
204 271 1775597219.044000
205 271 1775597219.051000
206 270 1775597219.057000
207 270 1775597219.064000
208 270 1775597219.071000
210 270 1775597219.078000
212 270 1775597219.085000
214 270 1775597219.092000
216 270 1775597219.099000
218 270 1775597219.106000
220 270 1775597219.117000
222 271 1775597219.124000
225 271 1775597219.138000
226 272 1775597219.144000
228 272 1775597219.159000
228 273 1775597219.165000
229 273 1775597219.179000
229 273 1775597219.201000
229 274 1775597219.208000
229 275 1775597219.215000
229 275 1775597219.222000
229 276 1775597219.227000
229 277 1775597219.234000
229 277 1775597219.241000
229 279 1775597219.255000
229 280 1775597219.262000
229 280 1775597219.271000
229 281 1775597219.278000
229 282 1775597219.285000
229 283 1775597219.292000
229 283 1775597219.298000
229 284 1775597219.306000
229 285 1775597219.312000
228 285 1775597219.319000
228 286 1775597219.326000
228 287 1775597219.333000
227 288 1775597219.340000
227 288 1775597219.347000
227 288 1775597219.354000
227 289 1775597219.361000
226 290 1775597219.368000
224 291 1775597219.375000
223 292 1775597219.382000
222 292 1775597219.389000
220 293 1775597219.396000
218 293 1775597219.403000
216 293 1775597219.410000
214 294 1775597219.417000
212 294 1775597219.424000
209 294 1775597219.430000
207 294 1775597219.437000
206 294 1775597219.445000
205 294 1775597219.451000
203 294 1775597219.458000
202 294 1775597219.465000
202 294 1775597219.477000
203 294 1775597219.604000
204 294 1775597219.611000
206 294 1775597219.618000
208 294 1775597219.625000
211 295 1775597219.631000
214 295 1775597219.638000
216 296 1775597219.645000
219 297 1775597219.652000
222 298 1775597219.659000
225 299 1775597219.666000
228 300 1775597219.673000
230 301 1775597219.680000
232 302 1775597219.687000
233 302 1775597219.694000
234 303 1775597219.701000
235 304 1775597219.708000
236 304 1775597219.715000
236 305 1775597219.722000
237 305 1775597219.729000
238 306 1775597219.736000
238 306 1775597219.743000
239 307 1775597219.761000
239 308 1775597219.768000
239 308 1775597219.775000
239 309 1775597219.782000
239 309 1775597219.789000
239 309 1775597219.796000
239 310 1775597219.807000
239 310 1775597219.813000
239 311 1775597219.835000
239 312 1775597219.856000
239 312 1775597219.862000
239 313 1775597219.884000
238 314 1775597219.900000
237 315 1775597219.907000
236 316 1775597219.914000
235 317 1775597219.921000
233 318 1775597219.928000
232 318 1775597219.935000
229 319 1775597219.942000
227 320 1775597219.949000
224 321 1775597219.956000
221 321 1775597219.963000
219 321 1775597219.970000
216 321 1775597219.977000
213 321 1775597219.984000
211 321 1775597219.991000
209 321 1775597219.998000
207 321 1775597220.005000
206 321 1775597220.014000
204 320 1775597220.018000
203 320 1775597220.025000
202 320 1775597220.032000
201 319 1775597220.039000
201 319 1775597220.046000
200 319 1775597220.053000
200 319 1775597220.067000
199 318 1775597220.109000

STROKE 2
231 289 1775597220.683000
231 288 1775597220.787000
233 287 1775597220.795000
235 285 1775597220.803000
237 284 1775597220.810000
240 282 1775597220.820000
244 280 1775597220.827000
248 279 1775597220.834000
252 278 1775597220.841000
256 277 1775597220.848000
260 276 1775597220.855000
265 275 1775597220.861000
268 275 1775597220.869000
272 275 1775597220.876000
275 275 1775597220.882000
277 275 1775597220.889000
280 275 1775597220.896000
282 276 1775597220.903000
283 277 1775597220.910000
285 278 1775597220.917000
287 279 1775597220.924000
288 281 1775597220.931000
289 283 1775597220.938000
290 286 1775597220.945000
291 288 1775597220.952000
292 291 1775597220.959000
293 293 1775597220.966000
293 296 1775597220.973000
294 299 1775597220.980000
295 301 1775597220.987000
295 304 1775597220.994000
296 306 1775597221.000000
296 308 1775597221.008000
296 310 1775597221.014000
297 311 1775597221.022000
297 312 1775597221.028000
297 313 1775597221.035000
297 314 1775597221.042000
297 314 1775597221.049000
297 315 1775597221.056000
297 315 1775597221.063000
296 316 1775597221.070000
296 316 1775597221.077000
296 317 1775597221.084000
295 317 1775597221.094000
294 318 1775597221.101000
294 318 1775597221.108000
293 319 1775597221.125000
292 319 1775597221.132000
291 320 1775597221.139000
289 321 1775597221.146000
288 321 1775597221.153000
287 322 1775597221.160000
285 322 1775597221.167000
283 322 1775597221.174000
281 322 1775597221.181000
279 322 1775597221.188000
278 322 1775597221.195000
276 322 1775597221.202000
275 322 1775597221.208000
273 320 1775597221.232000
272 320 1775597221.236000
272 319 1775597221.243000
271 318 1775597221.255000
271 318 1775597221.271000
271 317 1775597221.278000
270 316 1775597221.299000
270 316 1775597221.306000
270 315 1775597221.313000
270 314 1775597221.326000
271 314 1775597221.334000
271 313 1775597221.347000
272 312 1775597221.355000
273 311 1775597221.361000
275 310 1775597221.368000
276 310 1775597221.375000
278 310 1775597221.382000
280 309 1775597221.389000
282 309 1775597221.396000
284 309 1775597221.403000
287 308 1775597221.410000
289 308 1775597221.417000
291 308 1775597221.424000
293 308 1775597221.431000
295 308 1775597221.438000
296 308 1775597221.445000
297 308 1775597221.452000
298 308 1775597221.459000
299 308 1775597221.466000
299 308 1775597221.473000
300 308 1775597221.480000

STROKE 3
273 270 1775597222.237000
272 270 1775597222.244000
270 271 1775597222.264000
270 271 1775597222.271000
268 271 1775597222.279000
267 270 1775597222.287000
265 270 1775597222.292000
263 269 1775597222.300000
262 267 1775597222.307000
259 265 1775597222.314000
257 263 1775597222.321000
255 259 1775597222.328000
254 256 1775597222.335000
252 252 1775597222.342000
251 248 1775597222.349000
250 243 1775597222.356000
250 239 1775597222.363000
250 235 1775597222.369000
250 232 1775597222.375000
250 228 1775597222.383000
251 226 1775597222.389000
251 224 1775597222.397000
252 222 1775597222.404000
252 220 1775597222.411000
253 218 1775597222.418000
254 217 1775597222.425000
255 215 1775597222.432000
257 214 1775597222.439000
259 213 1775597222.446000
261 213 1775597222.453000
264 212 1775597222.460000
267 212 1775597222.466000
270 212 1775597222.473000
274 212 1775597222.480000
277 212 1775597222.487000
281 213 1775597222.494000
283 214 1775597222.502000
286 215 1775597222.509000
289 217 1775597222.516000
292 218 1775597222.523000
295 220 1775597222.530000
297 222 1775597222.537000
299 224 1775597222.544000
302 226 1775597222.551000
303 227 1775597222.558000
304 230 1775597222.565000
305 232 1775597222.572000
306 235 1775597222.579000
307 238 1775597222.586000
307 241 1775597222.593000
307 244 1775597222.600000
307 247 1775597222.607000
308 250 1775597222.614000
308 252 1775597222.621000
307 255 1775597222.628000
306 258 1775597222.635000
306 260 1775597222.642000
305 262 1775597222.649000
304 263 1775597222.656000
304 265 1775597222.663000
303 266 1775597222.671000
303 267 1775597222.678000
302 267 1775597222.685000
301 268 1775597222.692000
300 269 1775597222.699000
300 269 1775597222.706000
299 270 1775597222.713000
298 270 1775597222.720000
296 271 1775597222.727000
295 271 1775597222.734000
294 272 1775597222.741000
293 272 1775597222.748000
291 273 1775597222.755000
290 273 1775597222.762000
289 273 1775597222.768000
288 274 1775597222.775000
