STROKE 1
52 273 1776435974.392000
50 271 1776435974.524000
45 266 1776435974.540000
39 255 1776435974.557000
38 246 1776435974.574000
39 236 1776435974.590000
43 227 1776435974.607000
47 222 1776435974.624000
52 218 1776435974.640000
57 217 1776435974.657000
63 218 1776435974.674000
71 220 1776435974.690000
78 225 1776435974.707000
82 231 1776435974.723000
84 238 1776435974.740000
85 245 1776435974.757000
85 251 1776435974.774000
85 255 1776435974.790000
85 257 1776435974.806000
85 260 1776435974.823000
85 262 1776435974.840000
84 267 1776435974.857000
83 270 1776435974.873000
82 272 1776435974.889000
81 273 1776435974.906000
80 274 1776435974.919000

STROKE 2
83 257 1776435976.565000
83 256 1776435976.635000
83 255 1776435976.652000
84 250 1776435976.669000
90 239 1776435976.685000
95 231 1776435976.702000
102 225 1776435976.719000
108 221 1776435976.735000
114 219 1776435976.753000
117 219 1776435976.768000
121 220 1776435976.785000
127 226 1776435976.802000
133 236 1776435976.818000
138 248 1776435976.835000
140 254 1776435976.851000
141 258 1776435976.868000
142 261 1776435976.885000
142 264 1776435976.902000
140 268 1776435976.918000
136 272 1776435976.934000
132 276 1776435976.951000
127 277 1776435976.968000
125 278 1776435976.985000

STROKE 3
189 228 1776435977.483000
188 227 1776435977.600000
186 226 1776435977.616000
182 225 1776435977.633000
177 224 1776435977.650000
174 225 1776435977.666000
170 225 1776435977.683000
169 226 1776435977.699000
168 227 1776435977.716000
168 228 1776435977.733000
170 231 1776435977.750000
177 239 1776435977.766000
183 246 1776435977.783000
189 252 1776435977.799000
194 257 1776435977.816000
197 261 1776435977.833000
199 264 1776435977.849000
200 265 1776435977.866000
200 266 1776435977.882000
200 268 1776435977.900000
198 271 1776435977.916000
193 273 1776435977.932000
187 276 1776435977.949000
178 276 1776435977.965000
169 276 1776435977.982000
163 276 1776435977.999000
160 275 1776435978.015000
158 274 1776435978.032000
157 273 1776435978.049000
156 272 1776435978.065000
156 272 1776435978.082000
156 270 1776435978.099000
157 269 1776435978.115000
159 267 1776435978.132000
162 266 1776435978.148000
165 266 1776435978.165000
170 267 1776435978.182000
175 271 1776435978.198000
180 281 1776435978.215000
181 291 1776435978.232000
182 303 1776435978.248000
181 316 1776435978.265000
180 335 1776435978.282000
180 348 1776435978.298000
180 360 1776435978.315000
180 370 1776435978.331000
180 379 1776435978.348000
182 386 1776435978.365000
184 390 1776435978.381000

STROKE 4
191 217 1776435978.816000
190 216 1776435978.913000
184 213 1776435978.930000
173 203 1776435978.946000
160 191 1776435978.963000
152 174 1776435978.980000
153 161 1776435978.996000
162 144 1776435979.013000
175 134 1776435979.030000
188 130 1776435979.046000
206 132 1776435979.063000
222 140 1776435979.080000
226 144 1776435979.089000

STROKE 5
219 236 1776435979.634000
219 236 1776435979.778000
220 236 1776435979.794000
221 236 1776435979.811000
223 237 1776435979.828000
225 238 1776435979.844000
225 240 1776435979.861000
225 241 1776435979.878000
224 242 1776435979.895000
223 243 1776435979.911000
222 243 1776435979.928000
220 241 1776435979.944000
219 239 1776435979.961000
218 236 1776435979.977000
218 235 1776435979.994000
218 234 1776435980.011000
219 233 1776435980.027000
220 234 1776435980.044000
222 236 1776435980.060000

STROKE 6
213 275 1776435980.604000
214 275 1776435980.709000
215 275 1776435980.726000
217 274 1776435980.742000
219 275 1776435980.759000
221 276 1776435980.775000
223 277 1776435980.792000
224 279 1776435980.809000
225 281 1776435980.825000
225 282 1776435980.842000
225 283 1776435980.859000
225 283 1776435980.876000
224 284 1776435980.892000
223 284 1776435980.908000
220 283 1776435980.925000
217 282 1776435980.942000
214 279 1776435980.959000
213 278 1776435980.975000
213 277 1776435980.992000
213 276 1776435981.008000
214 275 1776435981.026000
214 275 1776435981.032000

