STROKE 1
150 223 1777694842.562000
150 223 1777694842.718000
148 223 1777694842.735000
145 223 1777694842.752000
142 223 1777694842.768000
141 223 1777694842.785000
140 223 1777694842.801000
139 224 1777694842.818000
139 224 1777694842.835000
140 226 1777694842.851000
145 230 1777694842.868000
153 236 1777694842.885000
163 246 1777694842.901000
168 251 1777694842.918000
170 255 1777694842.934000
172 256 1777694842.951000
172 257 1777694842.968000
172 258 1777694842.984000
171 260 1777694843.001000
169 261 1777694843.018000
164 264 1777694843.034000
154 266 1777694843.051000
147 266 1777694843.067000
140 266 1777694843.084000
134 266 1777694843.101000
130 265 1777694843.117000
126 265 1777694843.134000
125 264 1777694843.151000
124 263 1777694843.167000
124 263 1777694843.184000
126 260 1777694843.200000
129 257 1777694843.217000
134 256 1777694843.234000
138 256 1777694843.250000
143 257 1777694843.267000
148 259 1777694843.283000
151 262 1777694843.300000
153 265 1777694843.317000
154 267 1777694843.330000

STROKE 2
160 264 1777694843.900000
159 265 1777694844.015000
159 269 1777694844.032000
158 280 1777694844.048000
159 300 1777694844.066000
161 314 1777694844.082000
163 324 1777694844.098000
163 331 1777694844.115000
164 336 1777694844.132000
164 340 1777694844.148000
164 342 1777694844.165000
164 343 1777694844.182000
163 344 1777694844.198000
161 345 1777694844.215000
154 345 1777694844.231000
142 343 1777694844.248000
129 341 1777694844.265000
120 338 1777694844.282000
116 337 1777694844.294000

STROKE 3
157 226 1777694844.994000
156 226 1777694845.079000
153 225 1777694845.096000
142 219 1777694845.112000
133 211 1777694845.129000
126 200 1777694845.146000
124 191 1777694845.162000
125 178 1777694845.179000
131 169 1777694845.195000
138 164 1777694845.212000
146 161 1777694845.229000
159 162 1777694845.246000
172 167 1777694845.262000
182 174 1777694845.279000
187 181 1777694845.295000
191 188 1777694845.312000
192 197 1777694845.329000
191 203 1777694845.345000
189 209 1777694845.362000
183 214 1777694845.379000
175 217 1777694845.395000
163 220 1777694845.412000
155 220 1777694845.428000

STROKE 4
195 223 1777694846.071000
195 226 1777694846.227000
194 234 1777694846.243000
193 251 1777694846.260000
192 278 1777694846.277000
192 295 1777694846.293000
192 308 1777694846.310000
192 318 1777694846.326000
192 326 1777694846.343000
193 334 1777694846.359000
193 337 1777694846.376000
193 340 1777694846.393000
194 341 1777694846.410000
194 343 1777694846.426000
194 344 1777694846.443000
195 345 1777694846.459000
196 346 1777694846.476000
199 347 1777694846.493000
207 347 1777694846.509000
215 347 1777694846.526000
223 346 1777694846.542000
228 346 1777694846.559000
229 346 1777694846.567000

STROKE 5
232 224 1777694847.210000
232 224 1777694847.473000
231 225 1777694847.490000
231 227 1777694847.507000
230 228 1777694847.523000
229 228 1777694847.540000
228 229 1777694847.557000
228 229 1777694847.573000
227 229 1777694847.591000
227 228 1777694847.607000
227 228 1777694847.623000
227 227 1777694847.640000
227 227 1777694847.656000
227 226 1777694847.673000
228 225 1777694847.690000
229 225 1777694847.706000
229 225 1777694847.723000
231 227 1777694847.740000

STROKE 6
236 264 1777694853.764000
236 264 1777694854.041000
236 264 1777694854.058000
235 264 1777694854.074000
234 265 1777694854.091000
233 265 1777694854.107000
232 265 1777694854.124000
230 265 1777694854.141000
229 265 1777694854.157000
229 265 1777694854.174000
228 265 1777694854.191000
227 265 1777694854.208000
227 265 1777694854.224000
227 264 1777694854.241000
227 264 1777694854.258000
227 264 1777694854.274000
227 263 1777694854.291000
227 262 1777694854.307000
228 261 1777694854.324000
229 261 1777694854.341000
229 261 1777694854.357000
230 261 1777694854.374000
230 261 1777694854.390000
231 261 1777694854.407000
231 261 1777694854.424000
232 261 1777694854.440000
232 261 1777694854.457000
232 262 1777694854.473000

