STROKE 1
140 210 1777656298.444000
132 198 1777656298.578000
130 194 1777656298.594000
128 190 1777656298.611000
127 185 1777656298.628000
127 181 1777656298.644000
127 177 1777656298.661000
127 174 1777656298.678000
131 170 1777656298.694000
135 167 1777656298.711000
139 165 1777656298.728000
143 162 1777656298.745000
147 161 1777656298.761000
150 160 1777656298.778000
153 159 1777656298.795000
156 159 1777656298.811000
160 159 1777656298.828000
163 159 1777656298.845000
167 160 1777656298.862000
171 163 1777656298.878000
175 166 1777656298.895000
177 169 1777656298.912000
180 173 1777656298.928000
181 176 1777656298.945000
183 180 1777656298.962000
183 185 1777656298.979000
183 189 1777656298.995000
183 193 1777656299.012000
183 196 1777656299.029000
182 200 1777656299.046000
180 203 1777656299.062000
178 205 1777656299.079000
177 208 1777656299.096000
175 209 1777656299.113000
174 210 1777656299.129000
173 211 1777656299.146000
172 211 1777656299.217000

STROKE 2
186 188 1777656299.752000
185 180 1777656299.866000
185 176 1777656299.883000
186 172 1777656299.899000
188 168 1777656299.916000
190 163 1777656299.932000
193 160 1777656299.949000
196 157 1777656299.966000
198 155 1777656299.983000
201 154 1777656299.999000
204 154 1777656300.016000
207 154 1777656300.033000
210 154 1777656300.049000
214 155 1777656300.066000
218 159 1777656300.083000
221 164 1777656300.100000
224 169 1777656300.117000
226 174 1777656300.133000
228 180 1777656300.150000
229 186 1777656300.166000
229 193 1777656300.183000
229 198 1777656300.200000
227 201 1777656300.217000
223 203 1777656300.233000
220 205 1777656300.250000
216 205 1777656300.267000
213 206 1777656300.283000
210 206 1777656300.300000
207 206 1777656300.317000
205 206 1777656300.334000
203 206 1777656300.350000
203 205 1777656300.384000

STROKE 3
263 156 1777656305.874000
260 156 1777656306.005000
260 162 1777656306.022000
260 171 1777656306.039000
260 179 1777656306.055000
260 188 1777656306.072000
260 196 1777656306.089000
261 203 1777656306.105000
261 210 1777656306.122000
262 218 1777656306.139000
262 225 1777656306.155000
262 232 1777656306.172000
262 238 1777656306.189000
262 242 1777656306.206000
262 246 1777656306.222000
262 250 1777656306.239000
261 254 1777656306.256000
260 256 1777656306.272000
259 258 1777656306.289000
258 259 1777656306.306000
257 261 1777656306.323000
255 262 1777656306.339000
253 264 1777656306.356000
250 265 1777656306.373000
248 265 1777656306.390000
246 265 1777656306.406000
244 265 1777656306.423000
241 265 1777656306.440000
239 265 1777656306.456000
237 265 1777656306.473000
235 265 1777656306.490000
233 265 1777656306.507000
231 265 1777656306.523000
229 262 1777656306.540000
227 259 1777656306.557000
226 256 1777656306.574000
226 253 1777656306.590000
226 248 1777656306.607000
226 243 1777656306.624000
226 238 1777656306.640000
225 233 1777656306.658000
225 229 1777656306.674000
224 225 1777656306.691000
223 221 1777656306.707000
222 217 1777656306.724000
221 212 1777656306.741000
221 210 1777656306.758000
221 209 1777656306.778000

STROKE 4
271 135 1777656307.647000
268 137 1777656307.762000
264 137 1777656307.779000
258 138 1777656307.795000
252 138 1777656307.812000
246 136 1777656307.829000
242 131 1777656307.845000
240 126 1777656307.862000
240 121 1777656307.879000
240 117 1777656307.895000
240 112 1777656307.912000
240 107 1777656307.929000
242 101 1777656307.945000
244 97 1777656307.962000
246 94 1777656307.979000
248 91 1777656307.996000
250 89 1777656308.012000
253 88 1777656308.029000
256 87 1777656308.046000
259 87 1777656308.063000
262 87 1777656308.080000
265 87 1777656308.096000
268 87 1777656308.113000
272 89 1777656308.130000
275 93 1777656308.146000
279 96 1777656308.163000
281 101 1777656308.180000
283 106 1777656308.196000
285 111 1777656308.213000
285 117 1777656308.230000
286 122 1777656308.246000
286 125 1777656308.263000
286 129 1777656308.280000
283 132 1777656308.297000
278 136 1777656308.313000
273 139 1777656308.330000
266 140 1777656308.347000
261 140 1777656308.364000
256 140 1777656308.380000
254 140 1777656308.397000
253 140 1777656308.414000
252 138 1777656308.431000
251 134 1777656308.447000
251 132 1777656308.464000
251 129 1777656308.481000
252 127 1777656308.497000
254 125 1777656308.514000
257 124 1777656308.531000
261 124 1777656308.548000
265 124 1777656308.564000
270 124 1777656308.581000
274 124 1777656308.598000
276 126 1777656308.615000
277 127 1777656308.632000
278 128 1777656308.648000
279 128 1777656308.665000
279 129 1777656308.681000
281 129 1777656308.715000
282 129 1777656308.732000
283 130 1777656308.749000
284 130 1777656308.770000

STROKE 5
296 173 1777656309.634000
290 170 1777656309.769000
290 168 1777656309.786000
292 167 1777656309.803000
293 166 1777656309.819000
294 165 1777656309.836000
295 165 1777656309.853000
296 165 1777656309.869000
296 166 1777656309.953000
296 167 1777656309.970000
296 168 1777656309.987000
296 167 1777656310.154000
297 167 1777656310.171000
298 167 1777656310.204000
299 167 1777656310.258000

STROKE 6
301 218 1777656317.697000
294 213 1777656317.866000
294 212 1777656317.882000
294 211 1777656317.899000
295 210 1777656317.916000
296 210 1777656317.949000
297 210 1777656317.966000
298 210 1777656317.999000
299 210 1777656318.016000
299 211 1777656318.050000
299 212 1777656318.066000
299 213 1777656318.100000
297 213 1777656318.150000
296 213 1777656318.183000

