STROKE 1
126 178 1775154318.099000
126 179 1775154318.224000
125 180 1775154318.240000
122 185 1775154318.257000
119 191 1775154318.274000
117 198 1775154318.290000
116 203 1775154318.307000
117 206 1775154318.324000
119 212 1775154318.340000
123 215 1775154318.357000
127 217 1775154318.373000
133 219 1775154318.390000
140 219 1775154318.407000
145 219 1775154318.423000
152 217 1775154318.440000
158 214 1775154318.457000
166 208 1775154318.474000
170 203 1775154318.490000
172 198 1775154318.506000
174 195 1775154318.523000
174 192 1775154318.540000
174 190 1775154318.557000
173 188 1775154318.573000
171 186 1775154318.590000
167 184 1775154318.606000
162 182 1775154318.623000
160 182 1775154318.640000
157 183 1775154318.656000
154 186 1775154318.673000
151 190 1775154318.690000
149 197 1775154318.706000
148 201 1775154318.723000
148 205 1775154318.739000
148 209 1775154318.756000
148 210 1775154318.763000

STROKE 2
160 220 1775154319.336000
160 220 1775154319.472000
160 225 1775154319.487000
159 237 1775154319.504000
158 247 1775154319.521000
157 254 1775154319.537000
157 258 1775154319.554000
156 262 1775154319.571000
155 263 1775154319.587000
155 264 1775154319.604000
154 265 1775154319.621000
151 267 1775154319.638000
146 268 1775154319.654000
139 269 1775154319.670000
130 269 1775154319.687000
122 270 1775154319.704000
114 271 1775154319.721000
112 271 1775154319.737000
110 272 1775154319.754000
109 272 1775154319.770000
108 272 1775154319.788000
106 272 1775154319.804000
106 272 1775154319.820000
105 272 1775154319.837000
104 271 1775154319.853000
100 268 1775154319.870000
96 261 1775154319.886000
92 247 1775154319.903000
87 231 1775154319.920000
85 215 1775154319.937000
82 195 1775154319.953000
81 182 1775154319.970000
81 170 1775154319.986000
81 159 1775154320.003000
82 145 1775154320.020000
83 137 1775154320.036000
83 131 1775154320.053000
84 128 1775154320.069000
84 125 1775154320.086000
84 124 1775154320.103000
84 123 1775154320.119000
84 121 1775154320.136000
84 120 1775154320.153000
84 120 1775154320.169000
84 119 1775154320.186000
84 119 1775154320.202000
85 118 1775154320.219000
86 118 1775154320.236000
89 116 1775154320.252000
96 115 1775154320.269000
107 114 1775154320.286000
119 113 1775154320.302000
133 113 1775154320.319000
141 113 1775154320.335000
146 113 1775154320.352000
149 113 1775154320.369000
152 114 1775154320.385000
153 114 1775154320.396000

STROKE 3
204 219 1775154321.113000
205 219 1775154321.300000
207 219 1775154321.317000
210 219 1775154321.333000
212 220 1775154321.350000
214 220 1775154321.366000
215 221 1775154321.383000
216 221 1775154321.400000
216 222 1775154321.416000
216 223 1775154321.433000
215 224 1775154321.449000
212 225 1775154321.466000
206 225 1775154321.483000
199 224 1775154321.499000
193 222 1775154321.516000
188 219 1775154321.533000
184 212 1775154321.550000
183 206 1775154321.565000
183 200 1775154321.582000
183 194 1775154321.599000
185 189 1775154321.616000
187 184 1775154321.632000
190 182 1775154321.649000
194 179 1775154321.665000
198 178 1775154321.682000
202 177 1775154321.699000
205 177 1775154321.715000
207 177 1775154321.732000
209 177 1775154321.749000
210 177 1775154321.765000
211 177 1775154321.782000
212 177 1775154321.799000

STROKE 4
203 183 1775154322.348000
203 183 1775154322.497000
201 181 1775154322.514000
192 170 1775154322.530000
185 157 1775154322.547000
182 146 1775154322.563000
182 134 1775154322.581000
183 126 1775154322.596000
186 121 1775154322.613000
189 118 1775154322.630000
192 116 1775154322.647000
199 115 1775154322.663000
209 115 1775154322.680000
223 118 1775154322.696000
239 124 1775154322.713000

STROKE 5
201 258 1775154323.351000
202 258 1775154323.563000
202 258 1775154323.580000
204 258 1775154323.607000
204 258 1775154323.628000
204 258 1775154323.678000
202 259 1775154323.694000
201 259 1775154323.711000
200 258 1775154323.727000
199 258 1775154323.744000
198 257 1775154323.761000
197 257 1775154323.777000
197 256 1775154323.794000
197 256 1775154323.810000
197 255 1775154323.827000
198 255 1775154323.844000
198 255 1775154323.855000

