STROKE 1
123 221 1776489248.690000
122 222 1776489248.799000
120 223 1776489248.816000
116 229 1776489248.832000
110 239 1776489248.849000
106 250 1776489248.867000
105 255 1776489248.882000
106 261 1776489248.899000
109 267 1776489248.916000
115 273 1776489248.932000
124 277 1776489248.949000
131 278 1776489248.966000
140 277 1776489248.982000
149 276 1776489248.999000
159 272 1776489249.015000
169 268 1776489249.032000
175 266 1776489249.048000
179 264 1776489249.065000
182 261 1776489249.082000
185 256 1776489249.099000
185 250 1776489249.115000
183 242 1776489249.132000
180 234 1776489249.148000
176 229 1776489249.165000
171 225 1776489249.182000
168 224 1776489249.198000
167 224 1776489249.215000

STROKE 2
122 266 1776489249.553000
122 266 1776489249.714000
124 265 1776489249.730000
129 263 1776489249.747000
135 261 1776489249.763000
141 261 1776489249.780000
147 261 1776489249.797000
151 262 1776489249.813000
154 264 1776489249.830000
158 266 1776489249.847000
159 269 1776489249.863000
160 271 1776489249.880000
161 273 1776489249.896000
161 274 1776489249.913000
161 276 1776489249.930000
161 277 1776489249.946000
161 277 1776489249.963000
161 278 1776489249.980000
161 278 1776489249.996000

STROKE 3
158 270 1776489250.417000
158 270 1776489250.545000
157 272 1776489250.562000
157 280 1776489250.578000
156 293 1776489250.595000
155 307 1776489250.612000
155 323 1776489250.628000
156 332 1776489250.645000
157 340 1776489250.661000
159 345 1776489250.678000
160 349 1776489250.695000
161 350 1776489250.711000
161 351 1776489250.728000
162 352 1776489250.745000
162 353 1776489250.761000
162 353 1776489250.778000
162 353 1776489250.794000
161 354 1776489250.811000
159 354 1776489250.828000
149 355 1776489250.844000
141 355 1776489250.861000
133 354 1776489250.878000
128 353 1776489250.894000
126 352 1776489250.907000

STROKE 4
175 216 1776489252.532000
174 216 1776489252.641000
172 215 1776489252.658000
165 213 1776489252.675000
156 210 1776489252.690000
146 206 1776489252.707000
140 201 1776489252.724000
135 193 1776489252.740000
133 188 1776489252.757000
133 181 1776489252.773000
134 174 1776489252.790000
138 164 1776489252.806000
142 158 1776489252.823000
146 154 1776489252.840000
152 151 1776489252.856000
160 148 1776489252.873000
166 148 1776489252.889000
174 149 1776489252.906000
182 152 1776489252.923000
190 157 1776489252.940000
194 161 1776489252.956000
198 166 1776489252.972000
200 171 1776489252.989000
201 174 1776489253.006000
201 179 1776489253.023000
201 183 1776489253.039000
200 188 1776489253.056000
198 195 1776489253.072000
196 200 1776489253.089000
193 204 1776489253.106000
191 207 1776489253.122000
188 208 1776489253.139000
185 210 1776489253.155000
182 211 1776489253.173000
177 212 1776489253.188000
173 213 1776489253.205000
169 213 1776489253.222000
165 213 1776489253.238000
162 213 1776489253.255000
160 212 1776489253.272000
158 212 1776489253.288000
157 211 1776489253.305000
156 209 1776489253.322000
154 207 1776489253.338000
153 204 1776489253.355000
153 201 1776489253.371000
152 199 1776489253.388000
153 197 1776489253.405000
154 195 1776489253.421000
156 193 1776489253.438000
160 192 1776489253.455000
164 192 1776489253.471000
170 193 1776489253.488000
175 196 1776489253.504000
179 198 1776489253.521000
182 201 1776489253.538000
184 203 1776489253.555000
186 205 1776489253.571000
187 207 1776489253.588000
188 208 1776489253.604000
189 209 1776489253.621000
190 211 1776489253.638000
190 212 1776489253.654000

