STROKE 1
124 225 1777693769.359000
125 224 1777693769.463000
127 223 1777693769.480000
131 222 1777693769.497000
142 219 1777693769.513000
150 218 1777693769.530000
157 218 1777693769.546000
166 220 1777693769.563000
172 223 1777693769.580000
178 229 1777693769.596000
181 235 1777693769.613000
182 240 1777693769.629000
181 246 1777693769.646000
178 253 1777693769.663000
174 256 1777693769.679000
169 259 1777693769.696000
162 261 1777693769.713000
155 262 1777693769.729000
145 263 1777693769.746000
138 264 1777693769.763000
133 264 1777693769.779000
129 264 1777693769.796000
126 263 1777693769.813000
124 263 1777693769.829000
123 262 1777693769.846000
122 262 1777693769.862000
122 261 1777693769.880000
124 258 1777693769.896000
127 254 1777693769.912000
131 251 1777693769.929000
135 250 1777693769.945000
140 250 1777693769.962000
145 251 1777693769.979000
149 252 1777693769.995000
151 254 1777693770.012000
153 256 1777693770.029000
154 257 1777693770.045000
156 259 1777693770.062000
157 263 1777693770.078000
159 270 1777693770.095000
160 282 1777693770.112000
161 291 1777693770.128000
161 299 1777693770.145000
162 305 1777693770.162000
162 312 1777693770.179000
162 315 1777693770.195000
162 317 1777693770.211000
162 319 1777693770.228000
162 320 1777693770.245000
162 321 1777693770.261000
161 322 1777693770.278000
161 323 1777693770.295000
159 324 1777693770.311000
152 326 1777693770.328000
144 326 1777693770.345000
136 327 1777693770.361000
129 327 1777693770.378000
123 326 1777693770.395000
118 325 1777693770.411000
115 324 1777693770.428000
113 323 1777693770.444000
111 322 1777693770.461000
109 321 1777693770.478000
107 320 1777693770.494000
105 318 1777693770.511000
103 314 1777693770.527000
100 305 1777693770.544000
97 293 1777693770.561000
97 281 1777693770.577000
96 265 1777693770.594000
96 248 1777693770.611000
97 228 1777693770.627000
97 216 1777693770.644000
98 205 1777693770.660000
98 196 1777693770.677000
99 185 1777693770.694000
99 179 1777693770.710000
99 175 1777693770.727000
99 173 1777693770.743000
99 171 1777693770.760000
99 170 1777693770.777000
99 169 1777693770.793000
100 168 1777693770.810000
101 167 1777693770.827000
105 168 1777693770.843000
119 169 1777693770.860000
132 171 1777693770.877000
144 171 1777693770.893000
155 172 1777693770.910000
160 172 1777693770.926000
163 173 1777693770.943000
164 173 1777693770.958000

STROKE 2
209 229 1777693771.374000
209 228 1777693771.475000
210 228 1777693771.492000
210 225 1777693771.508000
214 220 1777693771.525000
218 217 1777693771.542000
222 214 1777693771.558000
227 213 1777693771.575000
231 214 1777693771.591000
236 216 1777693771.608000
241 219 1777693771.625000
246 224 1777693771.642000
249 228 1777693771.658000
250 234 1777693771.674000
252 240 1777693771.691000
251 246 1777693771.708000
250 251 1777693771.725000
248 255 1777693771.741000
246 257 1777693771.758000
243 259 1777693771.774000
237 261 1777693771.791000
231 262 1777693771.807000
224 263 1777693771.824000
217 263 1777693771.841000
212 263 1777693771.858000
207 261 1777693771.874000
203 259 1777693771.891000
199 255 1777693771.907000
196 249 1777693771.924000
194 242 1777693771.941000
194 238 1777693771.957000
194 235 1777693771.974000
195 233 1777693771.990000
197 230 1777693772.007000
201 228 1777693772.024000
204 227 1777693772.041000
207 227 1777693772.057000
210 229 1777693772.074000
214 233 1777693772.090000
218 240 1777693772.107000
220 247 1777693772.123000
220 251 1777693772.140000
220 254 1777693772.157000
219 257 1777693772.173000
218 259 1777693772.190000
217 260 1777693772.207000
217 261 1777693772.223000
216 262 1777693772.240000
215 263 1777693772.256000

STROKE 3
229 202 1777693777.596000
228 202 1777693777.760000
227 202 1777693777.776000
225 202 1777693777.793000
220 201 1777693777.810000
212 195 1777693777.827000
207 190 1777693777.843000
204 183 1777693777.859000
203 177 1777693777.876000
206 169 1777693777.893000
213 159 1777693777.910000
218 155 1777693777.926000
223 153 1777693777.943000
227 152 1777693777.961000
232 153 1777693777.976000
240 155 1777693777.992000
246 159 1777693778.009000
252 165 1777693778.026000
256 171 1777693778.043000
257 174 1777693778.050000

