STROKE 1
165 271 1775599181.252000
164 272 1775599181.384000
161 275 1775599181.399000
157 282 1775599181.416000
154 290 1775599181.433000
152 298 1775599181.449000
152 306 1775599181.466000
154 313 1775599181.482000
157 319 1775599181.499000
159 323 1775599181.516000
164 327 1775599181.533000
168 329 1775599181.549000
173 331 1775599181.565000
178 331 1775599181.582000
185 331 1775599181.600000
190 329 1775599181.615000
195 326 1775599181.632000
200 322 1775599181.649000
205 316 1775599181.665000
210 308 1775599181.682000
214 302 1775599181.698000
216 297 1775599181.716000
217 294 1775599181.732000
217 291 1775599181.748000
216 287 1775599181.765000
214 284 1775599181.782000
211 281 1775599181.798000
207 279 1775599181.815000
200 277 1775599181.832000
199 277 1775599181.843000

STROKE 2
203 265 1775599186.036000
202 265 1775599186.204000
199 262 1775599186.221000
194 256 1775599186.238000
188 244 1775599186.255000
186 236 1775599186.271000
185 230 1775599186.287000
186 225 1775599186.304000
187 220 1775599186.321000
192 215 1775599186.337000
199 212 1775599186.354000
208 210 1775599186.370000
217 209 1775599186.387000
228 210 1775599186.404000
235 213 1775599186.420000
242 217 1775599186.437000
247 222 1775599186.454000
251 229 1775599186.470000
254 239 1775599186.487000
254 246 1775599186.503000
253 251 1775599186.520000
251 255 1775599186.537000
246 260 1775599186.554000
241 262 1775599186.570000
233 264 1775599186.587000
226 266 1775599186.603000
219 268 1775599186.621000
213 268 1775599186.636000
209 267 1775599186.653000
206 267 1775599186.670000
203 266 1775599186.687000
202 265 1775599186.698000

STROKE 3
196 258 1775599192.567000
197 258 1775599192.789000
199 256 1775599192.805000
203 254 1775599192.822000
210 250 1775599192.838000
215 249 1775599192.855000
220 248 1775599192.872000
223 249 1775599192.889000
226 249 1775599192.905000
229 251 1775599192.921000
232 252 1775599192.938000
234 254 1775599192.955000
236 255 1775599192.972000
237 256 1775599192.988000
238 256 1775599193.005000

