STROKE 1
73 188 1775593787.795000
74 187 1775593787.905000
76 186 1775593787.921000
81 185 1775593787.939000
87 185 1775593787.955000
93 187 1775593787.971000
99 190 1775593787.988000
105 196 1775593788.005000
107 201 1775593788.021000
108 206 1775593788.038000
109 209 1775593788.054000
108 214 1775593788.071000
107 219 1775593788.088000
104 225 1775593788.104000
100 231 1775593788.121000
94 236 1775593788.138000
89 238 1775593788.154000
85 238 1775593788.171000
80 237 1775593788.187000
73 235 1775593788.205000
70 232 1775593788.221000
68 231 1775593788.237000
67 230 1775593788.254000
66 228 1775593788.271000

STROKE 2
129 195 1775593788.699000
130 194 1775593788.803000
133 192 1775593788.819000
137 189 1775593788.837000
141 188 1775593788.854000
146 187 1775593788.869000
148 188 1775593788.886000
152 189 1775593788.902000
155 193 1775593788.920000
157 200 1775593788.936000
158 205 1775593788.952000
158 209 1775593788.969000
157 212 1775593788.986000
154 218 1775593789.005000
151 222 1775593789.023000
146 225 1775593789.035000
139 227 1775593789.052000
130 228 1775593789.071000
122 227 1775593789.087000
116 226 1775593789.104000
113 225 1775593789.120000
111 224 1775593789.140000
110 223 1775593789.148000

STROKE 3
213 238 1775593789.844000
212 238 1775593789.983000
209 238 1775593790.000000
201 239 1775593790.018000
190 238 1775593790.037000
185 235 1775593790.049000
178 231 1775593790.067000
175 226 1775593790.083000
172 221 1775593790.100000
172 217 1775593790.117000
172 213 1775593790.133000
173 208 1775593790.150000
180 199 1775593790.166000
186 193 1775593790.184000
191 190 1775593790.199000
195 189 1775593790.216000
200 189 1775593790.238000
201 189 1775593790.249000
203 189 1775593790.266000
205 190 1775593790.282000
206 190 1775593790.299000

STROKE 4
217 193 1775593795.518000
216 193 1775593795.652000
212 192 1775593795.669000
199 188 1775593795.687000
187 185 1775593795.703000
179 181 1775593795.719000
173 176 1775593795.736000
171 171 1775593795.753000
172 163 1775593795.770000
177 152 1775593795.786000
187 142 1775593795.803000
198 135 1775593795.819000
211 132 1775593795.835000
220 132 1775593795.852000
226 135 1775593795.867000

STROKE 5
190 262 1775593796.837000
190 262 1775593797.033000
190 262 1775593797.049000
190 263 1775593797.066000
189 264 1775593797.083000
188 264 1775593797.099000
188 264 1775593797.115000
187 265 1775593797.132000
187 265 1775593797.149000
187 265 1775593797.233000
187 265 1775593797.249000
187 266 1775593797.268000
187 266 1775593797.284000
187 267 1775593797.304000
187 267 1775593797.531000
187 267 1775593797.548000
188 267 1775593797.565000
188 267 1775593797.582000
188 267 1775593797.598000
189 266 1775593797.648000
189 266 1775593797.674000
189 265 1775593797.695000
189 265 1775593797.731000

