STROKE 1
67 217 1777693025.226000
67 217 1777693025.327000
67 216 1777693025.344000
69 212 1777693025.361000
70 210 1777693025.377000
72 208 1777693025.394000
74 208 1777693025.410000
75 207 1777693025.427000
80 208 1777693025.444000
84 211 1777693025.460000
87 213 1777693025.477000
88 214 1777693025.494000
89 217 1777693025.510000
89 218 1777693025.527000
88 221 1777693025.543000
86 224 1777693025.560000
83 227 1777693025.577000
81 228 1777693025.593000
80 229 1777693025.610000
79 229 1777693025.626000
78 230 1777693025.644000
77 230 1777693025.660000
77 230 1777693025.676000
77 230 1777693025.693000
77 230 1777693025.711000
77 231 1777693025.726000
82 235 1777693025.743000
87 241 1777693025.759000
92 247 1777693025.776000
94 251 1777693025.794000
95 253 1777693025.809000
95 254 1777693025.826000
94 256 1777693025.843000
91 257 1777693025.859000
86 260 1777693025.876000
83 260 1777693025.892000
80 261 1777693025.909000
79 261 1777693025.923000

STROKE 2
81 241 1777693026.200000
81 240 1777693026.275000
81 239 1777693026.292000
84 231 1777693026.309000
89 222 1777693026.325000
94 216 1777693026.341000
99 211 1777693026.358000
104 207 1777693026.376000
109 206 1777693026.391000
115 207 1777693026.408000
123 209 1777693026.425000
131 213 1777693026.441000
137 219 1777693026.458000
143 229 1777693026.475000
145 238 1777693026.491000
146 245 1777693026.508000
145 252 1777693026.525000
144 255 1777693026.541000
142 257 1777693026.558000
140 259 1777693026.574000
136 260 1777693026.591000
132 261 1777693026.608000
129 261 1777693026.624000
126 260 1777693026.641000
125 259 1777693026.657000
124 256 1777693026.674000
126 250 1777693026.690000
130 243 1777693026.707000
135 239 1777693026.724000
139 237 1777693026.741000
143 237 1777693026.757000

STROKE 3
186 263 1777693027.304000
184 262 1777693027.439000
181 259 1777693027.455000
174 251 1777693027.472000
166 239 1777693027.489000
163 232 1777693027.505000
163 226 1777693027.522000
164 220 1777693027.539000
168 213 1777693027.556000
170 209 1777693027.572000
173 207 1777693027.589000
176 206 1777693027.605000
180 205 1777693027.622000
185 204 1777693027.638000
194 206 1777693027.655000
200 207 1777693027.672000
205 209 1777693027.688000
209 211 1777693027.706000
210 213 1777693027.721000
213 216 1777693027.738000
214 220 1777693027.755000
216 226 1777693027.771000
218 235 1777693027.788000
220 241 1777693027.805000
220 246 1777693027.821000
220 249 1777693027.838000
220 251 1777693027.855000
220 253 1777693027.871000
220 254 1777693027.888000
220 255 1777693027.904000
219 256 1777693027.921000
219 257 1777693027.944000
219 258 1777693027.954000
219 259 1777693027.971000
219 259 1777693027.989000
219 259 1777693028.010000
218 259 1777693028.087000
218 255 1777693028.104000
217 249 1777693028.120000
217 240 1777693028.137000
218 230 1777693028.154000
219 224 1777693028.170000
221 220 1777693028.187000
223 217 1777693028.204000
226 213 1777693028.221000
229 211 1777693028.237000
233 209 1777693028.254000
237 208 1777693028.270000
241 208 1777693028.287000
247 208 1777693028.303000
254 210 1777693028.320000
260 213 1777693028.337000
266 216 1777693028.353000
270 220 1777693028.370000
274 227 1777693028.387000
277 232 1777693028.403000
279 237 1777693028.420000
280 244 1777693028.437000
280 248 1777693028.453000
280 251 1777693028.470000
279 254 1777693028.486000
279 256 1777693028.503000
278 257 1777693028.520000
277 259 1777693028.536000
276 260 1777693028.553000
274 262 1777693028.569000
273 263 1777693028.586000
270 264 1777693028.603000
270 265 1777693028.618000

STROKE 4
242 299 1777693032.575000
243 298 1777693032.710000
246 296 1777693032.726000
252 294 1777693032.743000
258 293 1777693032.760000
265 293 1777693032.776000
270 294 1777693032.793000
275 296 1777693032.809000
279 299 1777693032.826000
284 305 1777693032.843000
286 309 1777693032.859000
287 313 1777693032.876000
288 315 1777693032.893000
287 317 1777693032.910000
286 320 1777693032.926000
283 322 1777693032.942000
278 325 1777693032.959000
271 327 1777693032.975000
262 328 1777693032.992000
258 328 1777693033.009000
256 328 1777693033.026000
254 328 1777693033.042000
253 328 1777693033.059000
252 328 1777693033.075000
251 328 1777693033.092000
250 327 1777693033.109000
250 326 1777693033.126000
250 325 1777693033.142000
250 325 1777693033.158000
250 324 1777693033.175000
251 322 1777693033.192000
254 319 1777693033.209000
259 317 1777693033.225000
263 315 1777693033.241000
267 315 1777693033.258000
271 315 1777693033.275000
276 316 1777693033.291000
279 318 1777693033.308000
280 319 1777693033.317000

