STROKE 1
200 151 1775072593.8272097
201 151 1775072593.8746445
201 150 1775072593.87964
201 149 1775072593.9265776
202 149 1775072593.9287486
203 149 1775072593.9326172
204 148 1775072593.9368844
204 147 1775072593.940946
206 147 1775072593.9450216
207 147 1775072593.9494402
208 146 1775072593.9534638
209 146 1775072593.9575036
210 146 1775072593.961717
212 146 1775072593.965659
213 146 1775072593.9690404
214 146 1775072593.9717941
215 146 1775072593.9758008
216 146 1775072593.9766767
217 146 1775072593.979931
218 146 1775072593.9824512
219 146 1775072593.9859495
220 146 1775072593.9883099
221 146 1775072593.9919014
221 147 1775072593.9938123
222 147 1775072593.9958684
223 147 1775072593.997866
225 148 1775072593.999883
226 148 1775072594.003961
226 149 1775072594.0058587
227 149 1775072594.0079162
228 149 1775072594.0098584
229 150 1775072594.0118756
230 151 1775072594.0159683
231 151 1775072594.0177994
232 152 1775072594.0198727
233 152 1775072594.021867
233 153 1775072594.0238786
234 153 1775072594.0258384
235 154 1775072594.0299072
236 154 1775072594.0318165
236 155 1775072594.0338588
237 157 1775072594.035854
238 157 1775072594.0399265
238 158 1775072594.0419354
239 158 1775072594.043919
239 159 1775072594.0458853
240 159 1775072594.0478907
240 160 1775072594.051894
240 161 1775072594.0559437
241 162 1775072594.0579848
241 163 1775072594.061877
242 163 1775072594.064289
242 164 1775072594.0660973
242 165 1775072594.067929
242 166 1775072594.0719488
243 166 1775072594.0738468
243 167 1775072594.0758476
243 168 1775072594.0799873
243 169 1775072594.081895
243 170 1775072594.0858924
243 171 1775072594.089891
243 172 1775072594.0922215
243 173 1775072594.0940416
243 174 1775072594.0979245
243 175 1775072594.099884
243 176 1775072594.1039793
243 177 1775072594.1100047
243 178 1775072594.1139736
243 179 1775072594.119928
242 179 1775072594.121814
242 180 1775072594.1238875
241 181 1775072594.129983
241 182 1775072594.1339273
240 182 1775072594.135874
239 183 1775072594.1398828
238 184 1775072594.1439567
237 184 1775072594.1479495
236 184 1775072594.149897
236 185 1775072594.1519117
235 185 1775072594.1538105
234 186 1775072594.1558924
233 186 1775072594.1579106
232 187 1775072594.1598406
231 187 1775072594.1619272
230 188 1775072594.163838
229 188 1775072594.1658354
227 189 1775072594.1678379
226 189 1775072594.1698573
225 189 1775072594.171843
224 190 1775072594.1738567
223 190 1775072594.1758947
222 191 1775072594.177834
220 191 1775072594.1798165
220 192 1775072594.1818027
219 192 1775072594.183939
218 193 1775072594.1858997
217 193 1775072594.187791
216 193 1775072594.1899698
215 193 1775072594.1918385
214 193 1775072594.1963568
213 193 1775072594.199843
212 194 1775072594.2018566
211 194 1775072594.2059977
210 194 1775072594.209863
209 194 1775072594.2179186
208 194 1775072594.2283232
207 194 1775072594.2360308
206 194 1775072594.2424998
206 193 1775072594.2453432
205 193 1775072594.246583
204 193 1775072594.250905
203 193 1775072594.2548196
202 192 1775072594.2570798
201 191 1775072594.262174
200 191 1775072594.2641716
200 190 1775072594.2691684
199 190 1775072594.271596
198 190 1775072594.2768025
198 189 1775072594.2794132
197 189 1775072594.2831044
197 188 1775072594.285888
197 187 1775072594.292089
196 187 1775072594.2941396
196 186 1775072594.2985542
196 185 1775072594.3021226
196 184 1775072594.3060272
196 183 1775072594.3122208
196 182 1775072594.3160307
196 181 1775072594.3199878
196 180 1775072594.3242235
196 179 1775072594.32614
196 178 1775072594.330777
197 178 1775072594.3349495
197 177 1775072594.3391457
198 176 1775072594.3420246
199 175 1775072594.3481321
200 175 1775072594.3522696
201 175 1775072594.356628
201 174 1775072594.3590953
202 174 1775072594.3631828
203 173 1775072594.3666704
204 173 1775072594.3705812
205 173 1775072594.37444
206 173 1775072594.378435
207 173 1775072594.384143
208 173 1775072594.392202
209 173 1775072594.3967116
210 173 1775072594.4025404
210 174 1775072594.4053705
212 175 1775072594.4094865
213 176 1775072594.4134939
214 177 1775072594.4175808
215 178 1775072594.42155
