STROKE 1
115 239 1777653571.903000
102 227 1777653572.017000
99 223 1777653572.034000
97 218 1777653572.051000
95 213 1777653572.067000
95 207 1777653572.084000
95 201 1777653572.101000
95 195 1777653572.117000
95 190 1777653572.134000
96 185 1777653572.150000
99 182 1777653572.167000
104 180 1777653572.184000
108 178 1777653572.201000
113 178 1777653572.217000
118 177 1777653572.234000
122 177 1777653572.251000
127 177 1777653572.268000
132 177 1777653572.284000
137 177 1777653572.301000
142 180 1777653572.318000
147 185 1777653572.334000
152 189 1777653572.351000
155 194 1777653572.368000
157 199 1777653572.385000
159 203 1777653572.401000
160 208 1777653572.418000
160 212 1777653572.435000
160 217 1777653572.451000
160 220 1777653572.468000
158 223 1777653572.485000
157 226 1777653572.502000
156 228 1777653572.519000
155 229 1777653572.536000
154 231 1777653572.552000
153 231 1777653572.569000
153 232 1777653572.589000

STROKE 2
164 206 1777653573.208000
165 198 1777653573.288000
165 193 1777653573.305000
168 187 1777653573.322000
172 182 1777653573.339000
176 178 1777653573.355000
181 175 1777653573.372000
186 173 1777653573.389000
191 172 1777653573.405000
196 172 1777653573.422000
201 172 1777653573.439000
206 172 1777653573.456000
210 174 1777653573.472000
215 178 1777653573.489000
219 184 1777653573.506000
223 190 1777653573.523000
226 196 1777653573.539000
228 202 1777653573.556000
230 208 1777653573.572000
230 214 1777653573.589000
230 220 1777653573.606000
230 225 1777653573.623000
229 229 1777653573.639000
226 231 1777653573.656000
222 233 1777653573.673000
218 235 1777653573.689000
214 236 1777653573.706000
210 237 1777653573.723000
208 237 1777653573.740000
207 237 1777653573.756000

STROKE 3
261 230 1777653580.971000
255 224 1777653581.017000
254 220 1777653581.034000
253 213 1777653581.051000
252 206 1777653581.068000
252 200 1777653581.085000
252 193 1777653581.101000
252 188 1777653581.118000
256 182 1777653581.135000
261 178 1777653581.151000
267 175 1777653581.168000
274 173 1777653581.185000
280 173 1777653581.201000
286 173 1777653581.218000
292 173 1777653581.235000
297 176 1777653581.251000
300 181 1777653581.268000
303 187 1777653581.285000
305 194 1777653581.302000
307 200 1777653581.319000
307 207 1777653581.335000
307 214 1777653581.352000
307 220 1777653581.369000
307 224 1777653581.385000
305 227 1777653581.402000
302 229 1777653581.419000
298 230 1777653581.436000
295 231 1777653581.452000
293 232 1777653581.469000
292 233 1777653581.486000
291 233 1777653581.507000
292 233 1777653581.519000
294 233 1777653581.542000

STROKE 4
309 202 1777653581.803000
307 192 1777653581.854000
307 188 1777653581.871000
307 183 1777653581.888000
309 178 1777653581.904000
313 174 1777653581.921000
318 171 1777653581.938000
325 171 1777653581.954000
332 171 1777653581.971000
338 171 1777653581.988000
343 174 1777653582.005000
347 178 1777653582.022000
350 184 1777653582.038000
351 192 1777653582.055000
352 199 1777653582.071000
352 205 1777653582.088000
352 212 1777653582.105000
348 219 1777653582.122000
343 223 1777653582.138000
339 227 1777653582.155000
335 229 1777653582.172000
334 229 1777653582.188000

STROKE 5
338 150 1777653582.961000
333 151 1777653583.042000
331 153 1777653583.043000
325 155 1777653583.059000
317 155 1777653583.076000
311 155 1777653583.092000
306 149 1777653583.109000
304 142 1777653583.126000
304 133 1777653583.142000
304 125 1777653583.159000
308 119 1777653583.176000
314 114 1777653583.192000
322 111 1777653583.209000
332 108 1777653583.226000
340 107 1777653583.243000
345 107 1777653583.259000
347 107 1777653583.276000
348 107 1777653583.293000
349 107 1777653583.309000
350 107 1777653583.326000
353 107 1777653583.343000
354 108 1777653583.359000

