STROKE 1
75 267 1776435756.445000
74 266 1776435756.549000
71 265 1776435756.565000
67 261 1776435756.581000
62 255 1776435756.598000
60 248 1776435756.615000
61 239 1776435756.632000
65 233 1776435756.648000
69 230 1776435756.664000
74 229 1776435756.681000
81 231 1776435756.698000
87 236 1776435756.714000
91 243 1776435756.731000
94 248 1776435756.748000
95 252 1776435756.764000
96 255 1776435756.781000
97 257 1776435756.797000
98 260 1776435756.814000
101 263 1776435756.831000
105 268 1776435756.848000
108 270 1776435756.864000
112 272 1776435756.881000
116 273 1776435756.897000
119 274 1776435756.914000
124 273 1776435756.931000
128 272 1776435756.947000
131 270 1776435756.964000
133 266 1776435756.981000
135 261 1776435756.998000
133 251 1776435757.014000
130 242 1776435757.031000
126 236 1776435757.047000
124 233 1776435757.064000
122 232 1776435757.080000
122 231 1776435757.097000

STROKE 2
125 230 1776435757.332000
124 229 1776435757.413000
120 226 1776435757.430000
113 219 1776435757.446000
103 206 1776435757.463000
99 197 1776435757.479000
97 188 1776435757.496000
98 181 1776435757.513000
102 173 1776435757.529000
111 169 1776435757.546000
119 169 1776435757.562000
130 174 1776435757.579000
140 181 1776435757.596000
145 191 1776435757.613000
145 197 1776435757.629000
142 205 1776435757.646000
136 212 1776435757.662000
129 217 1776435757.679000
121 220 1776435757.696000
116 222 1776435757.712000
115 222 1776435757.722000

STROKE 3
130 283 1776435758.170000
130 284 1776435758.328000
129 301 1776435758.344000
129 316 1776435758.361000
129 329 1776435758.378000
130 334 1776435758.394000
132 336 1776435758.411000
135 338 1776435758.427000
141 339 1776435758.444000
148 339 1776435758.461000
151 338 1776435758.477000

STROKE 4
197 286 1776435758.827000
197 286 1776435758.942000
193 284 1776435758.959000
182 280 1776435758.976000
167 272 1776435758.992000
162 268 1776435759.009000
160 265 1776435759.025000
161 261 1776435759.042000
166 254 1776435759.059000
174 246 1776435759.075000
180 244 1776435759.092000
184 244 1776435759.109000
189 244 1776435759.125000
195 248 1776435759.142000
197 250 1776435759.159000

STROKE 5
204 251 1776435759.411000
204 251 1776435759.491000
202 249 1776435759.507000
191 240 1776435759.524000
182 231 1776435759.541000
176 223 1776435759.557000
174 216 1776435759.575000
175 209 1776435759.591000
186 199 1776435759.607000
197 196 1776435759.624000
208 198 1776435759.641000
220 204 1776435759.657000

STROKE 6
229 263 1776435761.610000
230 262 1776435762.139000
231 261 1776435762.155000
232 261 1776435762.170000
233 260 1776435762.187000
234 260 1776435762.204000
234 260 1776435762.220000
234 259 1776435762.248000
234 259 1776435762.265000
233 259 1776435762.282000

STROKE 7
222 302 1776435762.735000
223 300 1776435762.910000
223 299 1776435762.926000
224 298 1776435762.945000
224 298 1776435762.961000
224 297 1776435762.983000
224 297 1776435763.000000
224 296 1776435763.017000
225 296 1776435763.033000
226 295 1776435763.049000
227 294 1776435763.066000
228 294 1776435763.083000
229 293 1776435763.100000
229 293 1776435763.116000
230 293 1776435763.415000
230 293 1776435763.426000

