STROKE 1
26 244 1775747014.156000
27 243 1775747014.254000
31 240 1775747014.271000
36 236 1775747014.288000
43 234 1775747014.304000
51 234 1775747014.321000
57 236 1775747014.337000
63 241 1775747014.354000
67 246 1775747014.371000
69 250 1775747014.389000
69 252 1775747014.404000
69 254 1775747014.421000
68 255 1775747014.437000
66 257 1775747014.454000
60 260 1775747014.471000
52 261 1775747014.487000
45 262 1775747014.504000
40 262 1775747014.520000
35 261 1775747014.537000
30 255 1775747014.554000
28 247 1775747014.570000
29 237 1775747014.587000
33 225 1775747014.604000
42 213 1775747014.620000
47 207 1775747014.637000
52 204 1775747014.653000
55 203 1775747014.670000
57 203 1775747014.687000
61 204 1775747014.703000
62 205 1775747014.714000

STROKE 2
98 208 1775747015.192000
98 208 1775747015.318000
97 211 1775747015.335000
94 222 1775747015.352000
93 233 1775747015.368000
93 243 1775747015.385000
96 252 1775747015.402000
101 258 1775747015.418000
110 262 1775747015.435000
117 263 1775747015.452000
126 263 1775747015.469000
136 260 1775747015.485000
145 254 1775747015.502000
151 245 1775747015.518000
152 238 1775747015.535000
152 233 1775747015.551000
152 227 1775747015.568000
150 222 1775747015.584000
148 219 1775747015.601000
147 217 1775747015.618000
146 217 1775747015.634000
145 216 1775747015.651000
145 216 1775747015.657000

STROKE 3
146 238 1775747015.953000
146 238 1775747016.033000
148 234 1775747016.050000
154 228 1775747016.066000
167 220 1775747016.083000
183 214 1775747016.100000
192 212 1775747016.116000
197 211 1775747016.133000
201 211 1775747016.150000
204 212 1775747016.167000
207 216 1775747016.183000
209 223 1775747016.200000
210 232 1775747016.216000
208 245 1775747016.236000
206 252 1775747016.250000
203 256 1775747016.266000
201 258 1775747016.283000
198 259 1775747016.300000
192 261 1775747016.317000
189 261 1775747016.332000

STROKE 4
205 251 1775747016.603000
205 250 1775747016.665000
205 245 1775747016.682000
208 237 1775747016.698000
215 226 1775747016.715000
225 218 1775747016.732000
237 213 1775747016.748000
249 212 1775747016.765000
256 213 1775747016.782000
262 215 1775747016.798000
266 219 1775747016.815000
269 231 1775747016.832000
270 240 1775747016.848000
268 249 1775747016.865000
266 255 1775747016.882000
262 260 1775747016.899000
258 261 1775747016.915000
257 262 1775747016.927000

STROKE 5
302 263 1775747017.586000
302 263 1775747017.663000
305 262 1775747017.679000
310 262 1775747017.696000
315 262 1775747017.713000
321 262 1775747017.729000
323 262 1775747017.746000
324 262 1775747017.762000
324 262 1775747017.779000
324 262 1775747017.796000
321 262 1775747017.812000
313 263 1775747017.829000
303 263 1775747017.846000
290 262 1775747017.863000
284 261 1775747017.879000
280 257 1775747017.896000
279 251 1775747017.912000
282 242 1775747017.929000
292 229 1775747017.945000
301 224 1775747017.962000
308 221 1775747017.979000
313 220 1775747017.995000
315 220 1775747018.012000
317 220 1775747018.029000
318 220 1775747018.045000
319 220 1775747018.062000
319 220 1775747018.079000
320 220 1775747018.095000
320 220 1775747018.112000
320 220 1775747018.136000
320 220 1775747018.145000
315 221 1775747018.162000
307 220 1775747018.178000
296 216 1775747018.195000
286 209 1775747018.212000
281 200 1775747018.228000
279 190 1775747018.245000
283 180 1775747018.261000
290 171 1775747018.278000
297 166 1775747018.295000
307 164 1775747018.311000
313 164 1775747018.328000
319 165 1775747018.345000

STROKE 6
335 221 1775747038.670000
335 221 1775747038.829000
336 221 1775747038.845000
336 221 1775747038.862000
337 221 1775747038.878000
337 221 1775747038.896000
337 221 1775747039.061000
337 222 1775747039.078000
337 223 1775747039.095000
337 225 1775747039.112000
337 226 1775747039.128000
337 227 1775747039.144000
337 228 1775747039.161000
337 228 1775747039.178000
337 229 1775747039.194000
337 229 1775747039.220000
338 229 1775747039.230000
338 228 1775747039.244000
339 228 1775747039.261000
339 228 1775747039.278000
340 227 1775747039.294000
340 227 1775747039.311000
340 227 1775747039.327000
340 228 1775747039.527000
340 228 1775747039.544000
340 229 1775747039.560000
340 229 1775747039.577000
341 229 1775747039.743000
341 230 1775747039.760000
341 230 1775747039.776000
341 231 1775747039.793000
341 231 1775747039.810000
341 232 1775747039.826000
340 232 1775747039.843000
340 232 1775747039.859000
340 232 1775747039.959000
341 232 1775747039.976000
341 232 1775747039.993000
341 232 1775747040.082000

STROKE 7
351 262 1775747040.913000
351 262 1775747041.040000
350 262 1775747041.057000
349 262 1775747041.073000
348 262 1775747041.090000
347 262 1775747041.107000
346 262 1775747041.123000
346 262 1775747041.140000
346 262 1775747041.190000
346 263 1775747041.623000
346 264 1775747041.639000
346 265 1775747041.655000
346 265 1775747041.672000
346 265 1775747041.700000
346 265 1775747041.711000
346 265 1775747041.722000
346 265 1775747041.738000
345 265 1775747041.755000

