STROKE 1
182 207 1776436642.373000
182 207 1776436642.462000
182 205 1776436642.478000
182 203 1776436642.495000
180 201 1776436642.512000
175 198 1776436642.529000
172 198 1776436642.545000
169 199 1776436642.562000
167 200 1776436642.578000
166 201 1776436642.595000
166 201 1776436642.612000
168 204 1776436642.628000
174 208 1776436642.644000
181 213 1776436642.661000
189 220 1776436642.678000
193 225 1776436642.694000
195 231 1776436642.711000
196 236 1776436642.728000
195 241 1776436642.744000
192 248 1776436642.761000
187 253 1776436642.778000
181 256 1776436642.794000
174 258 1776436642.811000
167 259 1776436642.828000
159 259 1776436642.844000
154 257 1776436642.861000
151 255 1776436642.878000
149 251 1776436642.894000
148 246 1776436642.911000
149 238 1776436642.927000
151 233 1776436642.944000
153 230 1776436642.961000
155 229 1776436642.978000
158 230 1776436642.994000
164 236 1776436643.010000
170 245 1776436643.027000
174 255 1776436643.044000
177 272 1776436643.061000
177 286 1776436643.077000
178 301 1776436643.094000
178 316 1776436643.110000
177 328 1776436643.127000
177 340 1776436643.144000
176 347 1776436643.160000
176 353 1776436643.177000
176 357 1776436643.194000
176 360 1776436643.211000
176 362 1776436643.227000
176 363 1776436643.243000
176 364 1776436643.260000
176 365 1776436643.276000
176 366 1776436643.294000
176 367 1776436643.310000
176 367 1776436643.327000
176 367 1776436643.343000

STROKE 2
179 370 1776436643.743000
178 370 1776436643.859000
175 369 1776436643.875000
166 368 1776436643.892000
145 366 1776436643.908000
132 363 1776436643.925000

STROKE 3
181 165 1776436644.642000
181 164 1776436644.756000
181 164 1776436644.773000
182 163 1776436644.790000
183 163 1776436644.807000
184 162 1776436644.823000
185 162 1776436644.839000
185 162 1776436644.856000
186 162 1776436644.873000
186 163 1776436644.889000
186 163 1776436644.906000
185 164 1776436644.923000
183 166 1776436644.939000
180 166 1776436644.956000
178 167 1776436644.973000
176 167 1776436644.989000
175 167 1776436645.006000
175 166 1776436645.022000
174 166 1776436645.040000
175 165 1776436645.056000
176 163 1776436645.072000
178 162 1776436645.089000
179 162 1776436645.106000

